detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354880,354881,354881,354881,closed,timeout,18969.5,18969.25,18969.75,18969.0,18957.5,18989.5,-0.25,-0.75,-1.25,-25.0,10.0,0.5,1.0,1.0,0.75,2024-01-02 00:07:00+00:00,2024-01-02 00:07:00+00:00,2024-01-02 00:08:00+00:00,2024-01-02 00:08:00+00:00,trajectory_1163dafd9e9d_05_c13ad2eabd35,1,market,0.0,1,1,12,20,49975.0
354961,354962,354962,354962,closed,timeout,18973.0,18971.25,18973.25,18971.0,18961.0,18993.0,-1.75,-2.25,-2.75,-55.0,10.0,0.5,1.0,1.0,2.25,2024-01-02 01:28:00+00:00,2024-01-02 01:28:00+00:00,2024-01-02 01:29:00+00:00,2024-01-02 01:29:00+00:00,trajectory_1163dafd9e9d_05_c13ad2eabd35,1,market,0.0,1,1,12,20,49920.0
354966,354967,354967,354967,closed,timeout,18970.5,18968.75,18970.75,18968.5,18958.5,18990.5,-1.75,-2.25,-2.75,-55.0,10.0,0.5,1.0,1.0,2.5,2024-01-02 01:33:00+00:00,2024-01-02 01:33:00+00:00,2024-01-02 01:34:00+00:00,2024-01-02 01:34:00+00:00,trajectory_1163dafd9e9d_05_c13ad2eabd35,1,market,0.0,1,1,12,20,49865.0
354981,354982,354982,354982,closed,timeout,18957.5,18956.75,18957.75,18956.5,18945.5,18977.5,-0.75,-1.25,-1.75,-35.0,10.0,0.5,1.0,1.0,1.25,2024-01-02 01:48:00+00:00,2024-01-02 01:48:00+00:00,2024-01-02 01:49:00+00:00,2024-01-02 01:49:00+00:00,trajectory_1163dafd9e9d_05_c13ad2eabd35,1,market,0.0,1,1,12,20,49830.0
354982,354983,354983,354983,closed,timeout,18956.5,18955.75,18956.75,18955.5,18944.5,18976.5,-0.75,-1.25,-1.75,-35.0,10.0,0.5,1.0,1.0,1.75,2024-01-02 01:49:00+00:00,2024-01-02 01:49:00+00:00,2024-01-02 01:50:00+00:00,2024-01-02 01:50:00+00:00,trajectory_1163dafd9e9d_05_c13ad2eabd35,1,market,0.0,1,1,12,20,49795.0
354983,354984,354984,354984,closed,timeout,18955.75,18955.0,18956.0,18954.75,18943.75,18975.75,-0.75,-1.25,-1.75,-35.0,10.0,0.5,1.0,1.0,1.0,2024-01-02 01:50:00+00:00,2024-01-02 01:50:00+00:00,2024-01-02 01:51:00+00:00,2024-01-02 01:51:00+00:00,trajectory_1163dafd9e9d_05_c13ad2eabd35,1,market,0.0,1,1,12,20,49760.0
354984,354985,354985,354985,closed,timeout,18955.0,18959.5,18955.25,18959.25,18943.0,18975.0,4.5,4.0,3.5,70.0,10.0,0.5,1.0,1.0,0.25,2024-01-02 01:51:00+00:00,2024-01-02 01:51:00+00:00,2024-01-02 01:52:00+00:00,2024-01-02 01:52:00+00:00,trajectory_1163dafd9e9d_05_c13ad2eabd35,1,market,0.0,1,1,12,20,49830.0
355008,355009,355009,355009,closed,timeout,18958.25,18956.75,18958.5,18956.5,18946.25,18978.25,-1.5,-2.0,-2.5,-50.0,10.0,0.5,1.0,1.0,3.75,2024-01-02 02:15:00+00:00,2024-01-02 02:15:00+00:00,2024-01-02 02:16:00+00:00,2024-01-02 02:16:00+00:00,trajectory_1163dafd9e9d_05_c13ad2eabd35,1,market,0.0,1,1,12,20,49780.0
355019,355020,355020,355020,closed,timeout,18955.0,18955.75,18955.25,18955.5,18943.0,18975.0,0.75,0.25,-0.25,-5.0,10.0,0.5,1.0,1.0,0.5,2024-01-02 02:26:00+00:00,2024-01-02 02:26:00+00:00,2024-01-02 02:27:00+00:00,2024-01-02 02:27:00+00:00,trajectory_1163dafd9e9d_05_c13ad2eabd35,1,market,0.0,1,1,12,20,49775.0
355021,355022,355022,355022,closed,timeout,18955.0,18953.5,18955.25,18953.25,18943.0,18975.0,-1.5,-2.0,-2.5,-50.0,10.0,0.5,1.0,1.0,2.0,2024-01-02 02:28:00+00:00,2024-01-02 02:28:00+00:00,2024-01-02 02:29:00+00:00,2024-01-02 02:29:00+00:00,trajectory_1163dafd9e9d_05_c13ad2eabd35,1,market,0.0,1,1,12,20,49725.0
