detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354885,354886,354930,354930,closed,timeout,18969.5,18968.0,18969.75,18967.75,18957.5,19001.5,-1.5,-2.0,-2.5,-50.0,10.0,0.5,45.0,45.0,10.0,2024-01-02 00:12:00+00:00,2024-01-02 00:12:00+00:00,2024-01-02 00:57:00+00:00,2024-01-02 00:57:00+00:00,trajectory_1163dafd9e9d_06_314f2fdb68b7,1,market,0.0,45,1,12,32,49950.0
355001,355002,355046,355046,closed,stop,18959.0,18947.0,18959.25,18946.75,18947.0,18991.0,-12.0,-12.5,-13.0,-260.0,10.0,0.5,45.0,45.0,14.0,2024-01-02 02:08:00+00:00,2024-01-02 02:08:00+00:00,2024-01-02 02:53:00+00:00,2024-01-02 02:53:00+00:00,trajectory_1163dafd9e9d_06_314f2fdb68b7,1,market,0.0,45,1,12,32,49690.0
355141,355142,355186,355186,closed,timeout,18948.5,18954.75,18948.75,18954.5,18936.5,18980.5,6.25,5.75,5.25,105.0,10.0,0.5,45.0,45.0,0.75,2024-01-02 04:28:00+00:00,2024-01-02 04:28:00+00:00,2024-01-02 05:13:00+00:00,2024-01-02 05:13:00+00:00,trajectory_1163dafd9e9d_06_314f2fdb68b7,1,market,0.0,45,1,12,32,49795.0
355220,355221,355265,355265,closed,timeout,18959.0,18953.0,18959.25,18952.75,18947.0,18991.0,-6.0,-6.5,-7.0,-140.0,10.0,0.5,45.0,45.0,8.25,2024-01-02 05:47:00+00:00,2024-01-02 05:47:00+00:00,2024-01-02 06:32:00+00:00,2024-01-02 06:32:00+00:00,trajectory_1163dafd9e9d_06_314f2fdb68b7,1,market,0.0,45,1,12,32,49655.0
355266,355267,355311,355311,closed,timeout,18953.0,18961.75,18953.25,18961.5,18941.0,18985.0,8.75,8.25,7.75,155.0,10.0,0.5,45.0,45.0,9.0,2024-01-02 06:33:00+00:00,2024-01-02 06:33:00+00:00,2024-01-02 07:18:00+00:00,2024-01-02 07:18:00+00:00,trajectory_1163dafd9e9d_06_314f2fdb68b7,1,market,0.0,45,1,12,32,49810.0
355444,355445,355454,355454,closed,stop,18944.75,18932.75,18945.0,18932.5,18932.75,18976.75,-12.0,-12.5,-13.0,-260.0,10.0,0.5,10.0,10.0,13.25,2024-01-02 09:31:00+00:00,2024-01-02 09:31:00+00:00,2024-01-02 09:41:00+00:00,2024-01-02 10:16:00+00:00,trajectory_1163dafd9e9d_06_314f2fdb68b7,1,market,0.0,45,1,12,32,49550.0
355473,355474,355503,355503,closed,stop,18935.75,18923.75,18936.0,18923.5,18923.75,18967.75,-12.0,-12.5,-13.0,-260.0,10.0,0.5,30.0,30.0,12.25,2024-01-02 10:00:00+00:00,2024-01-02 10:00:00+00:00,2024-01-02 10:30:00+00:00,2024-01-02 10:45:00+00:00,trajectory_1163dafd9e9d_06_314f2fdb68b7,1,market,0.0,45,1,12,32,49290.0
355608,355609,355610,355610,closed,stop,18810.5,18798.5,18810.75,18798.25,18798.5,18842.5,-12.0,-12.5,-13.0,-260.0,10.0,0.5,2.0,2.0,14.25,2024-01-02 12:15:00+00:00,2024-01-02 12:15:00+00:00,2024-01-02 12:17:00+00:00,2024-01-02 13:00:00+00:00,trajectory_1163dafd9e9d_06_314f2fdb68b7,1,market,0.0,45,1,12,32,49030.0
355683,355684,355726,355726,closed,target,18769.0,18801.0,18769.25,18800.75,18757.0,18801.0,32.0,31.5,31.0,620.0,10.0,0.5,43.0,43.0,6.25,2024-01-02 13:30:00+00:00,2024-01-02 13:30:00+00:00,2024-01-02 14:13:00+00:00,2024-01-02 14:15:00+00:00,trajectory_1163dafd9e9d_06_314f2fdb68b7,1,market,0.0,45,1,12,32,49650.0
355821,355822,355823,355823,closed,stop,18647.25,18635.25,18647.5,18635.0,18635.25,18679.25,-12.0,-12.5,-13.0,-260.0,10.0,0.5,2.0,2.0,17.75,2024-01-02 15:48:00+00:00,2024-01-02 15:48:00+00:00,2024-01-02 15:50:00+00:00,2024-01-02 16:33:00+00:00,trajectory_1163dafd9e9d_06_314f2fdb68b7,1,market,0.0,45,1,12,32,49390.0
355897,355898,355911,355911,closed,stop,18719.0,18707.0,18719.25,18706.75,18707.0,18751.0,-12.0,-12.5,-13.0,-260.0,10.0,0.5,14.0,14.0,24.75,2024-01-02 17:04:00+00:00,2024-01-02 17:04:00+00:00,2024-01-02 17:18:00+00:00,2024-01-02 17:49:00+00:00,trajectory_1163dafd9e9d_06_314f2fdb68b7,1,market,0.0,45,1,12,32,49130.0
355992,355993,355999,355999,closed,stop,18678.75,18666.75,18679.0,18666.5,18666.75,18710.75,-12.0,-12.5,-13.0,-260.0,10.0,0.5,7.0,7.0,13.75,2024-01-02 18:39:00+00:00,2024-01-02 18:39:00+00:00,2024-01-02 18:46:00+00:00,2024-01-02 19:24:00+00:00,trajectory_1163dafd9e9d_06_314f2fdb68b7,1,market,0.0,45,1,12,32,48870.0
356047,356048,356054,356054,closed,stop,18635.0,18623.0,18635.25,18622.75,18623.0,18667.0,-12.0,-12.5,-13.0,-260.0,10.0,0.5,7.0,7.0,13.75,2024-01-02 19:34:00+00:00,2024-01-02 19:34:00+00:00,2024-01-02 19:41:00+00:00,2024-01-02 20:19:00+00:00,trajectory_1163dafd9e9d_06_314f2fdb68b7,1,market,0.0,45,1,12,32,48610.0
356094,356095,356124,356124,closed,target,18581.25,18613.25,18581.5,18613.0,18569.25,18613.25,32.0,31.5,31.0,620.0,10.0,0.5,30.0,30.0,9.75,2024-01-02 20:21:00+00:00,2024-01-02 20:21:00+00:00,2024-01-02 20:51:00+00:00,2024-01-02 21:06:00+00:00,trajectory_1163dafd9e9d_06_314f2fdb68b7,1,market,0.0,45,1,12,32,49230.0
356251,356252,356296,356296,closed,timeout,18664.5,18659.0,18664.75,18658.75,18652.5,18696.5,-5.5,-6.0,-6.5,-130.0,10.0,0.5,45.0,45.0,8.5,2024-01-03 00:13:00+00:00,2024-01-03 00:13:00+00:00,2024-01-03 00:58:00+00:00,2024-01-03 00:58:00+00:00,trajectory_1163dafd9e9d_06_314f2fdb68b7,1,market,0.0,45,1,12,32,49100.0
356348,356349,356393,356393,closed,timeout,18652.5,18644.25,18652.75,18644.0,18640.5,18684.5,-8.25,-8.75,-9.25,-185.0,10.0,0.5,45.0,45.0,11.5,2024-01-03 01:50:00+00:00,2024-01-03 01:50:00+00:00,2024-01-03 02:35:00+00:00,2024-01-03 02:35:00+00:00,trajectory_1163dafd9e9d_06_314f2fdb68b7,1,market,0.0,45,1,12,32,48915.0
356398,356399,356443,356443,closed,timeout,18645.75,18644.5,18646.0,18644.25,18633.75,18677.75,-1.25,-1.75,-2.25,-45.0,10.0,0.5,45.0,45.0,4.5,2024-01-03 02:40:00+00:00,2024-01-03 02:40:00+00:00,2024-01-03 03:25:00+00:00,2024-01-03 03:25:00+00:00,trajectory_1163dafd9e9d_06_314f2fdb68b7,1,market,0.0,45,1,12,32,48870.0
356551,356552,356596,356596,closed,timeout,18635.5,18646.0,18635.75,18645.75,18623.5,18667.5,10.5,10.0,9.5,190.0,10.0,0.5,45.0,45.0,2.25,2024-01-03 05:13:00+00:00,2024-01-03 05:13:00+00:00,2024-01-03 05:58:00+00:00,2024-01-03 05:58:00+00:00,trajectory_1163dafd9e9d_06_314f2fdb68b7,1,market,0.0,45,1,12,32,49060.0
356604,356605,356649,356649,closed,timeout,18646.5,18656.75,18646.75,18656.5,18634.5,18678.5,10.25,9.75,9.25,185.0,10.0,0.5,45.0,45.0,5.25,2024-01-03 06:06:00+00:00,2024-01-03 06:06:00+00:00,2024-01-03 06:51:00+00:00,2024-01-03 06:51:00+00:00,trajectory_1163dafd9e9d_06_314f2fdb68b7,1,market,0.0,45,1,12,32,49245.0
356672,356673,356717,356717,closed,timeout,18650.25,18653.25,18650.5,18653.0,18638.25,18682.25,3.0,2.5,2.0,40.0,10.0,0.5,45.0,45.0,7.75,2024-01-03 07:14:00+00:00,2024-01-03 07:14:00+00:00,2024-01-03 07:59:00+00:00,2024-01-03 07:59:00+00:00,trajectory_1163dafd9e9d_06_314f2fdb68b7,1,market,0.0,45,1,12,32,49285.0
356726,356727,356761,356761,closed,stop,18653.5,18641.5,18653.75,18641.25,18641.5,18685.5,-12.0,-12.5,-13.0,-260.0,10.0,0.5,35.0,35.0,14.25,2024-01-03 08:08:00+00:00,2024-01-03 08:08:00+00:00,2024-01-03 08:43:00+00:00,2024-01-03 08:53:00+00:00,trajectory_1163dafd9e9d_06_314f2fdb68b7,1,market,0.0,45,1,12,32,49025.0
356847,356848,356892,356892,closed,timeout,18590.25,18606.0,18590.5,18605.75,18578.25,18622.25,15.75,15.25,14.75,295.0,10.0,0.5,45.0,45.0,4.25,2024-01-03 10:09:00+00:00,2024-01-03 10:09:00+00:00,2024-01-03 10:54:00+00:00,2024-01-03 10:54:00+00:00,trajectory_1163dafd9e9d_06_314f2fdb68b7,1,market,0.0,45,1,12,32,49320.0
