detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354885,354886,354897,354897,closed,stop,18969.5,18965.5,18969.75,18965.25,18965.5,19001.5,-4.0,-4.5,-5.0,-100.0,10.0,0.5,12.0,12.0,4.5,2024-01-02 00:12:00+00:00,2024-01-02 00:12:00+00:00,2024-01-02 00:24:00+00:00,2024-01-02 00:27:00+00:00,trajectory_1163dafd9e9d_06_a4fcfe5ba1fb,1,market,0.0,15,1,4,32,49900.0
355001,355002,355009,355009,closed,stop,18959.0,18955.0,18959.25,18954.75,18955.0,18991.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,8.0,8.0,4.5,2024-01-02 02:08:00+00:00,2024-01-02 02:08:00+00:00,2024-01-02 02:16:00+00:00,2024-01-02 02:23:00+00:00,trajectory_1163dafd9e9d_06_a4fcfe5ba1fb,1,market,0.0,15,1,4,32,49800.0
355141,355142,355156,355156,closed,timeout,18948.5,18953.75,18948.75,18953.5,18944.5,18980.5,5.25,4.75,4.25,85.0,10.0,0.5,15.0,15.0,0.75,2024-01-02 04:28:00+00:00,2024-01-02 04:28:00+00:00,2024-01-02 04:43:00+00:00,2024-01-02 04:43:00+00:00,trajectory_1163dafd9e9d_06_a4fcfe5ba1fb,1,market,0.0,15,1,4,32,49885.0
355179,355180,355194,355194,closed,timeout,18950.75,18955.75,18951.0,18955.5,18946.75,18982.75,5.0,4.5,4.0,80.0,10.0,0.5,15.0,15.0,3.0,2024-01-02 05:06:00+00:00,2024-01-02 05:06:00+00:00,2024-01-02 05:21:00+00:00,2024-01-02 05:21:00+00:00,trajectory_1163dafd9e9d_06_a4fcfe5ba1fb,1,market,0.0,15,1,4,32,49965.0
355220,355221,355235,355235,closed,timeout,18959.0,18958.75,18959.25,18958.5,18955.0,18991.0,-0.25,-0.75,-1.25,-25.0,10.0,0.5,15.0,15.0,1.75,2024-01-02 05:47:00+00:00,2024-01-02 05:47:00+00:00,2024-01-02 06:02:00+00:00,2024-01-02 06:02:00+00:00,trajectory_1163dafd9e9d_06_a4fcfe5ba1fb,1,market,0.0,15,1,4,32,49940.0
355262,355263,355274,355274,closed,stop,18952.5,18948.5,18952.75,18948.25,18948.5,18984.5,-4.0,-4.5,-5.0,-100.0,10.0,0.5,12.0,12.0,4.25,2024-01-02 06:29:00+00:00,2024-01-02 06:29:00+00:00,2024-01-02 06:41:00+00:00,2024-01-02 06:44:00+00:00,trajectory_1163dafd9e9d_06_a4fcfe5ba1fb,1,market,0.0,15,1,4,32,49840.0
355281,355282,355291,355291,closed,stop,18951.25,18947.25,18951.5,18947.0,18947.25,18983.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,10.0,10.0,6.25,2024-01-02 06:48:00+00:00,2024-01-02 06:48:00+00:00,2024-01-02 06:58:00+00:00,2024-01-02 07:03:00+00:00,trajectory_1163dafd9e9d_06_a4fcfe5ba1fb,1,market,0.0,15,1,4,32,49740.0
355444,355445,355451,355451,closed,stop,18944.75,18940.75,18945.0,18940.5,18940.75,18976.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,7.0,7.0,7.5,2024-01-02 09:31:00+00:00,2024-01-02 09:31:00+00:00,2024-01-02 09:38:00+00:00,2024-01-02 09:46:00+00:00,trajectory_1163dafd9e9d_06_a4fcfe5ba1fb,1,market,0.0,15,1,4,32,49640.0
355473,355474,355482,355482,closed,stop,18935.75,18931.75,18936.0,18931.5,18931.75,18967.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,9.0,9.0,4.5,2024-01-02 10:00:00+00:00,2024-01-02 10:00:00+00:00,2024-01-02 10:09:00+00:00,2024-01-02 10:15:00+00:00,trajectory_1163dafd9e9d_06_a4fcfe5ba1fb,1,market,0.0,15,1,4,32,49540.0
355608,355609,355609,355609,closed,stop,18810.5,18806.5,18810.75,18806.25,18806.5,18842.5,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,9.25,2024-01-02 12:15:00+00:00,2024-01-02 12:15:00+00:00,2024-01-02 12:16:00+00:00,2024-01-02 12:30:00+00:00,trajectory_1163dafd9e9d_06_a4fcfe5ba1fb,1,market,0.0,15,1,4,32,49440.0
