detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354900,354901,354930,354930,closed,timeout,18964.0,18968.0,18964.25,18967.75,18952.0,18996.0,4.0,3.5,3.0,60.0,10.0,0.5,30.0,30.0,4.5,2024-01-02 00:27:00+00:00,2024-01-02 00:27:00+00:00,2024-01-02 00:57:00+00:00,2024-01-02 00:57:00+00:00,trajectory_1163dafd9e9d_07_06fe7d3f9966,1,market,0.0,30,1,12,32,50060.0
354963,354964,354975,354975,closed,stop,18970.25,18958.25,18970.5,18958.0,18958.25,19002.25,-12.0,-12.5,-13.0,-260.0,10.0,0.5,12.0,12.0,14.25,2024-01-02 01:30:00+00:00,2024-01-02 01:30:00+00:00,2024-01-02 01:42:00+00:00,2024-01-02 02:00:00+00:00,trajectory_1163dafd9e9d_07_06fe7d3f9966,1,market,0.0,30,1,12,32,49800.0
355012,355013,355042,355042,closed,timeout,18955.25,18951.75,18955.5,18951.5,18943.25,18987.25,-3.5,-4.0,-4.5,-90.0,10.0,0.5,30.0,30.0,7.75,2024-01-02 02:19:00+00:00,2024-01-02 02:19:00+00:00,2024-01-02 02:49:00+00:00,2024-01-02 02:49:00+00:00,trajectory_1163dafd9e9d_07_06fe7d3f9966,1,market,0.0,30,1,12,32,49710.0
355045,355046,355075,355075,closed,timeout,18948.0,18948.0,18948.25,18947.75,18936.0,18980.0,0.0,-0.5,-1.0,-20.0,10.0,0.5,30.0,30.0,6.0,2024-01-02 02:52:00+00:00,2024-01-02 02:52:00+00:00,2024-01-02 03:22:00+00:00,2024-01-02 03:22:00+00:00,trajectory_1163dafd9e9d_07_06fe7d3f9966,1,market,0.0,30,1,12,32,49690.0
355170,355171,355200,355200,closed,timeout,18948.75,18959.0,18949.0,18958.75,18936.75,18980.75,10.25,9.75,9.25,185.0,10.0,0.5,30.0,30.0,1.0,2024-01-02 04:57:00+00:00,2024-01-02 04:57:00+00:00,2024-01-02 05:27:00+00:00,2024-01-02 05:27:00+00:00,trajectory_1163dafd9e9d_07_06fe7d3f9966,1,market,0.0,30,1,12,32,49875.0
355240,355241,355270,355270,closed,timeout,18955.0,18951.25,18955.25,18951.0,18943.0,18987.0,-3.75,-4.25,-4.75,-95.0,10.0,0.5,30.0,30.0,5.25,2024-01-02 06:07:00+00:00,2024-01-02 06:07:00+00:00,2024-01-02 06:37:00+00:00,2024-01-02 06:37:00+00:00,trajectory_1163dafd9e9d_07_06fe7d3f9966,1,market,0.0,30,1,12,32,49780.0
355272,355273,355302,355302,closed,timeout,18949.25,18949.5,18949.5,18949.25,18937.25,18981.25,0.25,-0.25,-0.75,-15.0,10.0,0.5,30.0,30.0,5.25,2024-01-02 06:39:00+00:00,2024-01-02 06:39:00+00:00,2024-01-02 07:09:00+00:00,2024-01-02 07:09:00+00:00,trajectory_1163dafd9e9d_07_06fe7d3f9966,1,market,0.0,30,1,12,32,49765.0
355336,355337,355366,355366,closed,timeout,18956.75,18968.0,18957.0,18967.75,18944.75,18988.75,11.25,10.75,10.25,205.0,10.0,0.5,30.0,30.0,4.0,2024-01-02 07:43:00+00:00,2024-01-02 07:43:00+00:00,2024-01-02 08:13:00+00:00,2024-01-02 08:13:00+00:00,trajectory_1163dafd9e9d_07_06fe7d3f9966,1,market,0.0,30,1,12,32,49970.0
355399,355400,355418,355418,closed,stop,18971.0,18959.0,18971.25,18958.75,18959.0,19003.0,-12.0,-12.5,-13.0,-260.0,10.0,0.5,19.0,19.0,14.75,2024-01-02 08:46:00+00:00,2024-01-02 08:46:00+00:00,2024-01-02 09:05:00+00:00,2024-01-02 09:16:00+00:00,trajectory_1163dafd9e9d_07_06fe7d3f9966,1,market,0.0,30,1,12,32,49710.0
355451,355452,355481,355481,closed,timeout,18937.75,18935.25,18938.0,18935.0,18925.75,18969.75,-2.5,-3.0,-3.5,-70.0,10.0,0.5,30.0,30.0,8.75,2024-01-02 09:38:00+00:00,2024-01-02 09:38:00+00:00,2024-01-02 10:08:00+00:00,2024-01-02 10:08:00+00:00,trajectory_1163dafd9e9d_07_06fe7d3f9966,1,market,0.0,30,1,12,32,49640.0
