detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354900,354901,354903,354903,closed,stop,18964.0,18960.0,18964.25,18959.75,18960.0,18996.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,3.0,3.0,4.5,2024-01-02 00:27:00+00:00,2024-01-02 00:27:00+00:00,2024-01-02 00:30:00+00:00,2024-01-02 00:57:00+00:00,trajectory_1163dafd9e9d_07_075285989e27,1,market,0.0,30,1,4,32,49900.0
354963,354964,354969,354969,closed,stop,18970.25,18966.25,18970.5,18966.0,18966.25,19002.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,6.0,6.0,5.25,2024-01-02 01:30:00+00:00,2024-01-02 01:30:00+00:00,2024-01-02 01:36:00+00:00,2024-01-02 02:00:00+00:00,trajectory_1163dafd9e9d_07_075285989e27,1,market,0.0,30,1,4,32,49800.0
355012,355013,355024,355024,closed,stop,18955.25,18951.25,18955.5,18951.0,18951.25,18987.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,12.0,12.0,5.5,2024-01-02 02:19:00+00:00,2024-01-02 02:19:00+00:00,2024-01-02 02:31:00+00:00,2024-01-02 02:49:00+00:00,trajectory_1163dafd9e9d_07_075285989e27,1,market,0.0,30,1,4,32,49700.0
355024,355025,355046,355046,closed,stop,18951.0,18947.0,18951.25,18946.75,18947.0,18983.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,22.0,22.0,6.0,2024-01-02 02:31:00+00:00,2024-01-02 02:31:00+00:00,2024-01-02 02:53:00+00:00,2024-01-02 03:01:00+00:00,trajectory_1163dafd9e9d_07_075285989e27,1,market,0.0,30,1,4,32,49600.0
355072,355073,355092,355092,closed,stop,18949.25,18945.25,18949.5,18945.0,18945.25,18981.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,20.0,20.0,4.75,2024-01-02 03:19:00+00:00,2024-01-02 03:19:00+00:00,2024-01-02 03:39:00+00:00,2024-01-02 03:49:00+00:00,trajectory_1163dafd9e9d_07_075285989e27,1,market,0.0,30,1,4,32,49500.0
355170,355171,355200,355200,closed,timeout,18948.75,18959.0,18949.0,18958.75,18944.75,18980.75,10.25,9.75,9.25,185.0,10.0,0.5,30.0,30.0,1.0,2024-01-02 04:57:00+00:00,2024-01-02 04:57:00+00:00,2024-01-02 05:27:00+00:00,2024-01-02 05:27:00+00:00,trajectory_1163dafd9e9d_07_075285989e27,1,market,0.0,30,1,4,32,49685.0
355240,355241,355253,355253,closed,stop,18955.0,18951.0,18955.25,18950.75,18951.0,18987.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,13.0,13.0,4.25,2024-01-02 06:07:00+00:00,2024-01-02 06:07:00+00:00,2024-01-02 06:20:00+00:00,2024-01-02 06:37:00+00:00,trajectory_1163dafd9e9d_07_075285989e27,1,market,0.0,30,1,4,32,49585.0
355272,355273,355291,355291,closed,stop,18949.25,18945.25,18949.5,18945.0,18945.25,18981.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,19.0,19.0,4.25,2024-01-02 06:39:00+00:00,2024-01-02 06:39:00+00:00,2024-01-02 06:58:00+00:00,2024-01-02 07:09:00+00:00,trajectory_1163dafd9e9d_07_075285989e27,1,market,0.0,30,1,4,32,49485.0
355336,355337,355366,355366,closed,timeout,18956.75,18968.0,18957.0,18967.75,18952.75,18988.75,11.25,10.75,10.25,205.0,10.0,0.5,30.0,30.0,4.0,2024-01-02 07:43:00+00:00,2024-01-02 07:43:00+00:00,2024-01-02 08:13:00+00:00,2024-01-02 08:13:00+00:00,trajectory_1163dafd9e9d_07_075285989e27,1,market,0.0,30,1,4,32,49690.0
355399,355400,355412,355412,closed,stop,18971.0,18967.0,18971.25,18966.75,18967.0,19003.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,13.0,13.0,4.25,2024-01-02 08:46:00+00:00,2024-01-02 08:46:00+00:00,2024-01-02 08:59:00+00:00,2024-01-02 09:16:00+00:00,trajectory_1163dafd9e9d_07_075285989e27,1,market,0.0,30,1,4,32,49590.0
