detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354909,354910,354954,354954,closed,timeout,18965.5,18974.0,18965.75,18973.75,18945.5,18997.5,8.5,8.0,7.5,150.0,10.0,0.5,45.0,45.0,0.75,2024-01-02 00:36:00+00:00,2024-01-02 00:36:00+00:00,2024-01-02 01:21:00+00:00,2024-01-02 01:21:00+00:00,trajectory_1163dafd9e9d_08_9302dbd39778,1,market,0.0,45,1,20,32,50150.0
355083,355084,355128,355128,closed,timeout,18950.5,18949.25,18950.75,18949.0,18930.5,18982.5,-1.25,-1.75,-2.25,-45.0,10.0,0.5,45.0,45.0,7.25,2024-01-02 03:30:00+00:00,2024-01-02 03:30:00+00:00,2024-01-02 04:15:00+00:00,2024-01-02 04:15:00+00:00,trajectory_1163dafd9e9d_08_9302dbd39778,1,market,0.0,45,1,20,32,50105.0
355175,355176,355220,355220,closed,timeout,18952.0,18958.75,18952.25,18958.5,18932.0,18984.0,6.75,6.25,5.75,115.0,10.0,0.5,45.0,45.0,4.25,2024-01-02 05:02:00+00:00,2024-01-02 05:02:00+00:00,2024-01-02 05:47:00+00:00,2024-01-02 05:47:00+00:00,trajectory_1163dafd9e9d_08_9302dbd39778,1,market,0.0,45,1,20,32,50220.0
355279,355280,355324,355324,closed,timeout,18954.25,18960.75,18954.5,18960.5,18934.25,18986.25,6.5,6.0,5.5,110.0,10.0,0.5,45.0,45.0,10.25,2024-01-02 06:46:00+00:00,2024-01-02 06:46:00+00:00,2024-01-02 07:31:00+00:00,2024-01-02 07:31:00+00:00,trajectory_1163dafd9e9d_08_9302dbd39778,1,market,0.0,45,1,20,32,50330.0
355349,355350,355394,355394,closed,timeout,18959.25,18974.75,18959.5,18974.5,18939.25,18991.25,15.5,15.0,14.5,290.0,10.0,0.5,45.0,45.0,2.25,2024-01-02 07:56:00+00:00,2024-01-02 07:56:00+00:00,2024-01-02 08:41:00+00:00,2024-01-02 08:41:00+00:00,trajectory_1163dafd9e9d_08_9302dbd39778,1,market,0.0,45,1,20,32,50620.0
355513,355514,355532,355532,closed,stop,18933.75,18913.75,18934.0,18913.5,18913.75,18965.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,19.0,19.0,24.5,2024-01-02 10:40:00+00:00,2024-01-02 10:40:00+00:00,2024-01-02 10:59:00+00:00,2024-01-02 11:25:00+00:00,trajectory_1163dafd9e9d_08_9302dbd39778,1,market,0.0,45,1,20,32,50200.0
355721,355722,355748,355748,closed,stop,18793.0,18773.0,18793.25,18772.75,18773.0,18825.0,-20.0,-20.5,-21.0,-420.0,10.0,0.5,27.0,27.0,22.0,2024-01-02 14:08:00+00:00,2024-01-02 14:08:00+00:00,2024-01-02 14:35:00+00:00,2024-01-02 14:53:00+00:00,trajectory_1163dafd9e9d_08_9302dbd39778,1,market,0.0,45,1,20,32,49780.0
355774,355775,355780,355780,closed,stop,18721.0,18701.0,18721.25,18700.75,18701.0,18753.0,-20.0,-20.5,-21.0,-420.0,10.0,0.5,6.0,6.0,20.5,2024-01-02 15:01:00+00:00,2024-01-02 15:01:00+00:00,2024-01-02 15:07:00+00:00,2024-01-02 15:46:00+00:00,trajectory_1163dafd9e9d_08_9302dbd39778,1,market,0.0,45,1,20,32,49360.0
355879,355880,355911,355911,closed,stop,18720.25,18700.25,18720.5,18700.0,18700.25,18752.25,-20.0,-20.5,-21.0,-420.0,10.0,0.5,32.0,32.0,26.0,2024-01-02 16:46:00+00:00,2024-01-02 16:46:00+00:00,2024-01-02 17:18:00+00:00,2024-01-02 17:31:00+00:00,trajectory_1163dafd9e9d_08_9302dbd39778,1,market,0.0,45,1,20,32,48940.0
356263,356264,356308,356308,closed,timeout,18669.0,18655.0,18669.25,18654.75,18649.0,18701.0,-14.0,-14.5,-15.0,-300.0,10.0,0.5,45.0,45.0,15.25,2024-01-03 00:25:00+00:00,2024-01-03 00:25:00+00:00,2024-01-03 01:10:00+00:00,2024-01-03 01:10:00+00:00,trajectory_1163dafd9e9d_08_9302dbd39778,1,market,0.0,45,1,20,32,48640.0
356411,356412,356456,356456,closed,timeout,18647.5,18647.25,18647.75,18647.0,18627.5,18679.5,-0.25,-0.75,-1.25,-25.0,10.0,0.5,45.0,45.0,6.25,2024-01-03 02:53:00+00:00,2024-01-03 02:53:00+00:00,2024-01-03 03:38:00+00:00,2024-01-03 03:38:00+00:00,trajectory_1163dafd9e9d_08_9302dbd39778,1,market,0.0,45,1,20,32,48615.0
356501,356502,356546,356546,closed,timeout,18643.0,18635.25,18643.25,18635.0,18623.0,18675.0,-7.75,-8.25,-8.75,-175.0,10.0,0.5,45.0,45.0,13.0,2024-01-03 04:23:00+00:00,2024-01-03 04:23:00+00:00,2024-01-03 05:08:00+00:00,2024-01-03 05:08:00+00:00,trajectory_1163dafd9e9d_08_9302dbd39778,1,market,0.0,45,1,20,32,48440.0
356549,356550,356594,356594,closed,timeout,18636.75,18646.75,18637.0,18646.5,18616.75,18668.75,10.0,9.5,9.0,180.0,10.0,0.5,45.0,45.0,3.5,2024-01-03 05:11:00+00:00,2024-01-03 05:11:00+00:00,2024-01-03 05:56:00+00:00,2024-01-03 05:56:00+00:00,trajectory_1163dafd9e9d_08_9302dbd39778,1,market,0.0,45,1,20,32,48620.0
