detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
355067,355068,355112,355112,closed,timeout,18953.5,18948.0,18953.75,18947.75,18933.5,18973.5,-5.5,-6.0,-6.5,-130.0,10.0,0.5,45.0,45.0,10.25,2024-01-02 03:14:00+00:00,2024-01-02 03:14:00+00:00,2024-01-02 03:59:00+00:00,2024-01-02 03:59:00+00:00,trajectory_1163dafd9e9d_09_154773c30397,1,market,0.0,45,1,20,20,49870.0
355131,355132,355176,355176,closed,timeout,18949.0,18951.25,18949.25,18951.0,18929.0,18969.0,2.25,1.75,1.25,25.0,10.0,0.5,45.0,45.0,2.5,2024-01-02 04:18:00+00:00,2024-01-02 04:18:00+00:00,2024-01-02 05:03:00+00:00,2024-01-02 05:03:00+00:00,trajectory_1163dafd9e9d_09_154773c30397,1,market,0.0,45,1,20,20,49895.0
355191,355192,355236,355236,closed,timeout,18955.75,18958.25,18956.0,18958.0,18935.75,18975.75,2.5,2.0,1.5,30.0,10.0,0.5,45.0,45.0,2.25,2024-01-02 05:18:00+00:00,2024-01-02 05:18:00+00:00,2024-01-02 06:03:00+00:00,2024-01-02 06:03:00+00:00,trajectory_1163dafd9e9d_09_154773c30397,1,market,0.0,45,1,20,20,49925.0
355313,355314,355358,355358,closed,timeout,18961.75,18969.5,18962.0,18969.25,18941.75,18981.75,7.75,7.25,6.75,135.0,10.0,0.5,45.0,45.0,9.0,2024-01-02 07:20:00+00:00,2024-01-02 07:20:00+00:00,2024-01-02 08:05:00+00:00,2024-01-02 08:05:00+00:00,trajectory_1163dafd9e9d_09_154773c30397,1,market,0.0,45,1,20,20,50060.0
355384,355385,355419,355419,closed,stop,18975.75,18955.75,18976.0,18955.5,18955.75,18995.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,35.0,35.0,21.0,2024-01-02 08:31:00+00:00,2024-01-02 08:31:00+00:00,2024-01-02 09:06:00+00:00,2024-01-02 09:16:00+00:00,trajectory_1163dafd9e9d_09_154773c30397,1,market,0.0,45,1,20,20,49640.0
355496,355497,355531,355531,closed,stop,18935.75,18915.75,18936.0,18915.5,18915.75,18955.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,35.0,35.0,21.0,2024-01-02 10:23:00+00:00,2024-01-02 10:23:00+00:00,2024-01-02 10:58:00+00:00,2024-01-02 11:08:00+00:00,trajectory_1163dafd9e9d_09_154773c30397,1,market,0.0,45,1,20,20,49220.0
355581,355582,355600,355600,closed,stop,18811.25,18791.25,18811.5,18791.0,18791.25,18831.25,-20.0,-20.5,-21.0,-420.0,10.0,0.5,19.0,19.0,22.75,2024-01-02 11:48:00+00:00,2024-01-02 11:48:00+00:00,2024-01-02 12:07:00+00:00,2024-01-02 12:33:00+00:00,trajectory_1163dafd9e9d_09_154773c30397,1,market,0.0,45,1,20,20,48800.0
355714,355715,355737,355737,closed,target,18793.75,18813.75,18794.0,18813.5,18773.75,18813.75,20.0,19.5,19.0,380.0,10.0,0.5,23.0,23.0,18.25,2024-01-02 14:01:00+00:00,2024-01-02 14:01:00+00:00,2024-01-02 14:24:00+00:00,2024-01-02 14:46:00+00:00,trajectory_1163dafd9e9d_09_154773c30397,1,market,0.0,45,1,20,20,49180.0
355778,355779,355781,355781,closed,stop,18720.0,18700.0,18720.25,18699.75,18700.0,18740.0,-20.0,-20.5,-21.0,-420.0,10.0,0.5,3.0,3.0,21.25,2024-01-02 15:05:00+00:00,2024-01-02 15:05:00+00:00,2024-01-02 15:08:00+00:00,2024-01-02 15:50:00+00:00,trajectory_1163dafd9e9d_09_154773c30397,1,market,0.0,45,1,20,20,48760.0
355841,355842,355845,355845,closed,target,18669.25,18689.25,18669.5,18689.0,18649.25,18689.25,20.0,19.5,19.0,380.0,10.0,0.5,4.0,4.0,3.0,2024-01-02 16:08:00+00:00,2024-01-02 16:08:00+00:00,2024-01-02 16:12:00+00:00,2024-01-02 16:53:00+00:00,trajectory_1163dafd9e9d_09_154773c30397,1,market,0.0,45,1,20,20,49140.0
