detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354877,354878,354878,354878,closed,timeout,18970.75,18970.75,18971.0,18970.5,18950.75,19002.75,0.0,-0.5,-1.0,-20.0,10.0,0.5,1.0,1.0,0.25,2024-01-02 00:04:00+00:00,2024-01-02 00:04:00+00:00,2024-01-02 00:05:00+00:00,2024-01-02 00:05:00+00:00,trajectory_1163dafd9e9d_10_1d7be316e3d0,1,market,0.0,1,1,20,32,49980.0
354878,354879,354879,354879,closed,timeout,18970.75,18969.25,18971.0,18969.0,18950.75,19002.75,-1.5,-2.0,-2.5,-50.0,10.0,0.5,1.0,1.0,1.75,2024-01-02 00:05:00+00:00,2024-01-02 00:05:00+00:00,2024-01-02 00:06:00+00:00,2024-01-02 00:06:00+00:00,trajectory_1163dafd9e9d_10_1d7be316e3d0,1,market,0.0,1,1,20,32,49930.0
354882,354883,354883,354883,closed,timeout,18969.75,18970.5,18970.0,18970.25,18949.75,19001.75,0.75,0.25,-0.25,-5.0,10.0,0.5,1.0,1.0,0.5,2024-01-02 00:09:00+00:00,2024-01-02 00:09:00+00:00,2024-01-02 00:10:00+00:00,2024-01-02 00:10:00+00:00,trajectory_1163dafd9e9d_10_1d7be316e3d0,1,market,0.0,1,1,20,32,49925.0
354889,354890,354890,354890,closed,timeout,18969.25,18969.0,18969.5,18968.75,18949.25,19001.25,-0.25,-0.75,-1.25,-25.0,10.0,0.5,1.0,1.0,1.0,2024-01-02 00:16:00+00:00,2024-01-02 00:16:00+00:00,2024-01-02 00:17:00+00:00,2024-01-02 00:17:00+00:00,trajectory_1163dafd9e9d_10_1d7be316e3d0,1,market,0.0,1,1,20,32,49900.0
354890,354891,354891,354891,closed,timeout,18968.75,18968.0,18969.0,18967.75,18948.75,19000.75,-0.75,-1.25,-1.75,-35.0,10.0,0.5,1.0,1.0,1.0,2024-01-02 00:17:00+00:00,2024-01-02 00:17:00+00:00,2024-01-02 00:18:00+00:00,2024-01-02 00:18:00+00:00,trajectory_1163dafd9e9d_10_1d7be316e3d0,1,market,0.0,1,1,20,32,49865.0
354958,354959,354959,354959,closed,timeout,18974.75,18973.5,18975.0,18973.25,18954.75,19006.75,-1.25,-1.75,-2.25,-45.0,10.0,0.5,1.0,1.0,2.0,2024-01-02 01:25:00+00:00,2024-01-02 01:25:00+00:00,2024-01-02 01:26:00+00:00,2024-01-02 01:26:00+00:00,trajectory_1163dafd9e9d_10_1d7be316e3d0,1,market,0.0,1,1,20,32,49820.0
355011,355012,355012,355012,closed,timeout,18957.25,18955.5,18957.5,18955.25,18937.25,18989.25,-1.75,-2.25,-2.75,-55.0,10.0,0.5,1.0,1.0,2.25,2024-01-02 02:18:00+00:00,2024-01-02 02:18:00+00:00,2024-01-02 02:19:00+00:00,2024-01-02 02:19:00+00:00,trajectory_1163dafd9e9d_10_1d7be316e3d0,1,market,0.0,1,1,20,32,49765.0
355020,355021,355021,355021,closed,timeout,18955.75,18955.0,18956.0,18954.75,18935.75,18987.75,-0.75,-1.25,-1.75,-35.0,10.0,0.5,1.0,1.0,1.5,2024-01-02 02:27:00+00:00,2024-01-02 02:27:00+00:00,2024-01-02 02:28:00+00:00,2024-01-02 02:28:00+00:00,trajectory_1163dafd9e9d_10_1d7be316e3d0,1,market,0.0,1,1,20,32,49730.0
355026,355027,355027,355027,closed,timeout,18953.75,18953.25,18954.0,18953.0,18933.75,18985.75,-0.5,-1.0,-1.5,-30.0,10.0,0.5,1.0,1.0,1.5,2024-01-02 02:33:00+00:00,2024-01-02 02:33:00+00:00,2024-01-02 02:34:00+00:00,2024-01-02 02:34:00+00:00,trajectory_1163dafd9e9d_10_1d7be316e3d0,1,market,0.0,1,1,20,32,49700.0
355027,355028,355028,355028,closed,timeout,18953.25,18952.75,18953.5,18952.5,18933.25,18985.25,-0.5,-1.0,-1.5,-30.0,10.0,0.5,1.0,1.0,1.5,2024-01-02 02:34:00+00:00,2024-01-02 02:34:00+00:00,2024-01-02 02:35:00+00:00,2024-01-02 02:35:00+00:00,trajectory_1163dafd9e9d_10_1d7be316e3d0,1,market,0.0,1,1,20,32,49670.0
