detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354920,354921,354923,354923,closed,timeout,18967.25,18967.5,18967.5,18967.25,18955.25,18999.25,0.25,-0.25,-0.75,-15.0,10.0,0.5,3.0,3.0,1.75,2024-01-02 00:47:00+00:00,2024-01-02 00:47:00+00:00,2024-01-02 00:50:00+00:00,2024-01-02 00:50:00+00:00,trajectory_1163dafd9e9d_11_82ba3fae30f7,1,market,0.0,3,1,12,32,49985.0
354924,354925,354927,354927,closed,timeout,18967.5,18968.25,18967.75,18968.0,18955.5,18999.5,0.75,0.25,-0.25,-5.0,10.0,0.5,3.0,3.0,0.25,2024-01-02 00:51:00+00:00,2024-01-02 00:51:00+00:00,2024-01-02 00:54:00+00:00,2024-01-02 00:54:00+00:00,trajectory_1163dafd9e9d_11_82ba3fae30f7,1,market,0.0,3,1,12,32,49980.0
354930,354931,354933,354933,closed,timeout,18968.25,18968.25,18968.5,18968.0,18956.25,19000.25,0.0,-0.5,-1.0,-20.0,10.0,0.5,3.0,3.0,1.5,2024-01-02 00:57:00+00:00,2024-01-02 00:57:00+00:00,2024-01-02 01:00:00+00:00,2024-01-02 01:00:00+00:00,trajectory_1163dafd9e9d_11_82ba3fae30f7,1,market,0.0,3,1,12,32,49960.0
354934,354935,354937,354937,closed,timeout,18968.25,18974.0,18968.5,18973.75,18956.25,19000.25,5.75,5.25,4.75,95.0,10.0,0.5,3.0,3.0,0.25,2024-01-02 01:01:00+00:00,2024-01-02 01:01:00+00:00,2024-01-02 01:04:00+00:00,2024-01-02 01:04:00+00:00,trajectory_1163dafd9e9d_11_82ba3fae30f7,1,market,0.0,3,1,12,32,50055.0
354951,354952,354954,354954,closed,timeout,18976.25,18974.0,18976.5,18973.75,18964.25,19008.25,-2.25,-2.75,-3.25,-65.0,10.0,0.5,3.0,3.0,2.5,2024-01-02 01:18:00+00:00,2024-01-02 01:18:00+00:00,2024-01-02 01:21:00+00:00,2024-01-02 01:21:00+00:00,trajectory_1163dafd9e9d_11_82ba3fae30f7,1,market,0.0,3,1,12,32,49990.0
354986,354987,354989,354989,closed,timeout,18957.5,18958.5,18957.75,18958.25,18945.5,18989.5,1.0,0.5,0.0,0.0,10.0,0.5,3.0,3.0,0.5,2024-01-02 01:53:00+00:00,2024-01-02 01:53:00+00:00,2024-01-02 01:56:00+00:00,2024-01-02 01:56:00+00:00,trajectory_1163dafd9e9d_11_82ba3fae30f7,1,market,0.0,3,1,12,32,49990.0
354989,354990,354992,354992,closed,timeout,18959.0,18957.5,18959.25,18957.25,18947.0,18991.0,-1.5,-2.0,-2.5,-50.0,10.0,0.5,3.0,3.0,4.0,2024-01-02 01:56:00+00:00,2024-01-02 01:56:00+00:00,2024-01-02 01:59:00+00:00,2024-01-02 01:59:00+00:00,trajectory_1163dafd9e9d_11_82ba3fae30f7,1,market,0.0,3,1,12,32,49940.0
354995,354996,354998,354998,closed,timeout,18957.75,18959.5,18958.0,18959.25,18945.75,18989.75,1.75,1.25,0.75,15.0,10.0,0.5,3.0,3.0,1.0,2024-01-02 02:02:00+00:00,2024-01-02 02:02:00+00:00,2024-01-02 02:05:00+00:00,2024-01-02 02:05:00+00:00,trajectory_1163dafd9e9d_11_82ba3fae30f7,1,market,0.0,3,1,12,32,49955.0
355029,355030,355032,355032,closed,timeout,18953.5,18948.75,18953.75,18948.5,18941.5,18985.5,-4.75,-5.25,-5.75,-115.0,10.0,0.5,3.0,3.0,5.25,2024-01-02 02:36:00+00:00,2024-01-02 02:36:00+00:00,2024-01-02 02:39:00+00:00,2024-01-02 02:39:00+00:00,trajectory_1163dafd9e9d_11_82ba3fae30f7,1,market,0.0,3,1,12,32,49840.0
355037,355038,355040,355040,closed,timeout,18953.0,18951.75,18953.25,18951.5,18941.0,18985.0,-1.25,-1.75,-2.25,-45.0,10.0,0.5,3.0,3.0,2.25,2024-01-02 02:44:00+00:00,2024-01-02 02:44:00+00:00,2024-01-02 02:47:00+00:00,2024-01-02 02:47:00+00:00,trajectory_1163dafd9e9d_11_82ba3fae30f7,1,market,0.0,3,1,12,32,49795.0
