detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
355013,355014,355043,355043,closed,timeout,18954.75,18951.5,18955.0,18951.25,18946.75,18986.75,-3.25,-3.75,-4.25,-85.0,10.0,0.5,30.0,30.0,7.25,2024-01-02 02:20:00+00:00,2024-01-02 02:20:00+00:00,2024-01-02 02:50:00+00:00,2024-01-02 02:50:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49915.0
355091,355092,355121,355121,closed,timeout,18946.25,18946.0,18946.5,18945.75,18938.25,18978.25,-0.25,-0.75,-1.25,-25.0,10.0,0.5,30.0,30.0,3.0,2024-01-02 03:38:00+00:00,2024-01-02 03:38:00+00:00,2024-01-02 04:08:00+00:00,2024-01-02 04:08:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49890.0
355171,355172,355201,355201,closed,timeout,18948.75,18959.5,18949.0,18959.25,18940.75,18980.75,10.75,10.25,9.75,195.0,10.0,0.5,30.0,30.0,1.0,2024-01-02 04:58:00+00:00,2024-01-02 04:58:00+00:00,2024-01-02 05:28:00+00:00,2024-01-02 05:28:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,50085.0
355239,355240,355269,355269,closed,timeout,18957.0,18952.0,18957.25,18951.75,18949.0,18989.0,-5.0,-5.5,-6.0,-120.0,10.0,0.5,30.0,30.0,7.25,2024-01-02 06:06:00+00:00,2024-01-02 06:06:00+00:00,2024-01-02 06:36:00+00:00,2024-01-02 06:36:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49965.0
355271,355272,355301,355301,closed,timeout,18950.75,18946.75,18951.0,18946.5,18942.75,18982.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,30.0,30.0,6.75,2024-01-02 06:38:00+00:00,2024-01-02 06:38:00+00:00,2024-01-02 07:08:00+00:00,2024-01-02 07:08:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49865.0
355337,355338,355367,355367,closed,timeout,18956.5,18966.5,18956.75,18966.25,18948.5,18988.5,10.0,9.5,9.0,180.0,10.0,0.5,30.0,30.0,3.75,2024-01-02 07:44:00+00:00,2024-01-02 07:44:00+00:00,2024-01-02 08:14:00+00:00,2024-01-02 08:14:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,50045.0
355400,355401,355416,355416,closed,stop,18971.0,18963.0,18971.25,18962.75,18963.0,19003.0,-8.0,-8.5,-9.0,-180.0,10.0,0.5,16.0,16.0,8.25,2024-01-02 08:47:00+00:00,2024-01-02 08:47:00+00:00,2024-01-02 09:03:00+00:00,2024-01-02 09:17:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49865.0
355452,355453,355466,355466,closed,stop,18939.25,18931.25,18939.5,18931.0,18931.25,18971.25,-8.0,-8.5,-9.0,-180.0,10.0,0.5,14.0,14.0,10.25,2024-01-02 09:39:00+00:00,2024-01-02 09:39:00+00:00,2024-01-02 09:53:00+00:00,2024-01-02 10:09:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49685.0
355487,355488,355517,355517,closed,timeout,18926.75,18936.0,18927.0,18935.75,18918.75,18958.75,9.25,8.75,8.25,165.0,10.0,0.5,30.0,30.0,3.25,2024-01-02 10:14:00+00:00,2024-01-02 10:14:00+00:00,2024-01-02 10:44:00+00:00,2024-01-02 10:44:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49850.0
355524,355525,355526,355526,closed,stop,18928.75,18920.75,18929.0,18920.5,18920.75,18960.75,-8.0,-8.5,-9.0,-180.0,10.0,0.5,2.0,2.0,9.25,2024-01-02 10:51:00+00:00,2024-01-02 10:51:00+00:00,2024-01-02 10:53:00+00:00,2024-01-02 11:21:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49670.0
355601,355602,355631,355631,closed,timeout,18796.5,18798.75,18796.75,18798.5,18788.5,18828.5,2.25,1.75,1.25,25.0,10.0,0.5,30.0,30.0,4.5,2024-01-02 12:08:00+00:00,2024-01-02 12:08:00+00:00,2024-01-02 12:38:00+00:00,2024-01-02 12:38:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49695.0
355641,355642,355644,355644,closed,stop,18788.75,18780.75,18789.0,18780.5,18780.75,18820.75,-8.0,-8.5,-9.0,-180.0,10.0,0.5,3.0,3.0,12.25,2024-01-02 12:48:00+00:00,2024-01-02 12:48:00+00:00,2024-01-02 12:51:00+00:00,2024-01-02 13:18:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49515.0
355720,355721,355737,355737,closed,target,18782.75,18814.75,18783.0,18814.5,18774.75,18814.75,32.0,31.5,31.0,620.0,10.0,0.5,17.0,17.0,0.25,2024-01-02 14:07:00+00:00,2024-01-02 14:07:00+00:00,2024-01-02 14:24:00+00:00,2024-01-02 14:37:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,50135.0
355749,355750,355750,355750,closed,stop,18782.5,18774.5,18782.75,18774.25,18774.5,18814.5,-8.0,-8.5,-9.0,-180.0,10.0,0.5,1.0,1.0,20.0,2024-01-02 14:36:00+00:00,2024-01-02 14:36:00+00:00,2024-01-02 14:37:00+00:00,2024-01-02 15:06:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49955.0
355751,355752,355752,355752,closed,stop,18762.0,18754.0,18762.25,18753.75,18754.0,18794.0,-8.0,-8.5,-9.0,-180.0,10.0,0.5,1.0,1.0,25.5,2024-01-02 14:38:00+00:00,2024-01-02 14:38:00+00:00,2024-01-02 14:39:00+00:00,2024-01-02 15:08:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49775.0
355805,355806,355823,355823,closed,stop,18644.5,18636.5,18644.75,18636.25,18636.5,18676.5,-8.0,-8.5,-9.0,-180.0,10.0,0.5,18.0,18.0,15.0,2024-01-02 15:32:00+00:00,2024-01-02 15:32:00+00:00,2024-01-02 15:50:00+00:00,2024-01-02 16:02:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49595.0
355824,355825,355836,355836,closed,target,18631.5,18663.5,18631.75,18663.25,18623.5,18663.5,32.0,31.5,31.0,620.0,10.0,0.5,12.0,12.0,1.25,2024-01-02 15:51:00+00:00,2024-01-02 15:51:00+00:00,2024-01-02 16:03:00+00:00,2024-01-02 16:21:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,50215.0
355940,355941,355942,355942,closed,stop,18706.75,18698.75,18707.0,18698.5,18698.75,18738.75,-8.0,-8.5,-9.0,-180.0,10.0,0.5,2.0,2.0,22.0,2024-01-02 17:47:00+00:00,2024-01-02 17:47:00+00:00,2024-01-02 17:49:00+00:00,2024-01-02 18:17:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,50035.0
356003,356004,356004,356004,closed,stop,18665.75,18657.75,18666.0,18657.5,18657.75,18697.75,-8.0,-8.5,-9.0,-180.0,10.0,0.5,1.0,1.0,10.0,2024-01-02 18:50:00+00:00,2024-01-02 18:50:00+00:00,2024-01-02 18:51:00+00:00,2024-01-02 19:20:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49855.0
356005,356006,356007,356007,closed,stop,18656.5,18648.5,18656.75,18648.25,18648.5,18688.5,-8.0,-8.5,-9.0,-180.0,10.0,0.5,2.0,2.0,8.25,2024-01-02 18:52:00+00:00,2024-01-02 18:52:00+00:00,2024-01-02 18:54:00+00:00,2024-01-02 19:22:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49675.0
356056,356057,356066,356066,closed,stop,18623.25,18615.25,18623.5,18615.0,18615.25,18655.25,-8.0,-8.5,-9.0,-180.0,10.0,0.5,10.0,10.0,9.5,2024-01-02 19:43:00+00:00,2024-01-02 19:43:00+00:00,2024-01-02 19:53:00+00:00,2024-01-02 20:13:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49495.0
356066,356067,356067,356067,closed,stop,18615.25,18607.25,18615.5,18607.0,18607.25,18647.25,-8.0,-8.5,-9.0,-180.0,10.0,0.5,1.0,1.0,10.75,2024-01-02 19:53:00+00:00,2024-01-02 19:53:00+00:00,2024-01-02 19:54:00+00:00,2024-01-02 20:23:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49315.0
356280,356281,356310,356310,closed,stop,18661.25,18653.25,18661.5,18653.0,18653.25,18693.25,-8.0,-8.5,-9.0,-180.0,10.0,0.5,30.0,30.0,9.25,2024-01-03 00:42:00+00:00,2024-01-03 00:42:00+00:00,2024-01-03 01:12:00+00:00,2024-01-03 01:12:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49135.0
356415,356416,356445,356445,closed,timeout,18642.5,18644.0,18642.75,18643.75,18634.5,18674.5,1.5,1.0,0.5,10.0,10.0,0.5,30.0,30.0,0.5,2024-01-03 02:57:00+00:00,2024-01-03 02:57:00+00:00,2024-01-03 03:27:00+00:00,2024-01-03 03:27:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49145.0
356481,356482,356511,356511,closed,timeout,18643.0,18642.75,18643.25,18642.5,18635.0,18675.0,-0.25,-0.75,-1.25,-25.0,10.0,0.5,30.0,30.0,3.5,2024-01-03 04:03:00+00:00,2024-01-03 04:03:00+00:00,2024-01-03 04:33:00+00:00,2024-01-03 04:33:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49120.0
356543,356544,356573,356573,closed,timeout,18633.25,18645.0,18633.5,18644.75,18625.25,18665.25,11.75,11.25,10.75,215.0,10.0,0.5,30.0,30.0,0.5,2024-01-03 05:05:00+00:00,2024-01-03 05:05:00+00:00,2024-01-03 05:35:00+00:00,2024-01-03 05:35:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49335.0
356607,356608,356637,356637,closed,timeout,18643.0,18653.5,18643.25,18653.25,18635.0,18675.0,10.5,10.0,9.5,190.0,10.0,0.5,30.0,30.0,1.75,2024-01-03 06:09:00+00:00,2024-01-03 06:09:00+00:00,2024-01-03 06:39:00+00:00,2024-01-03 06:39:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49525.0
356655,356656,356665,356665,closed,stop,18653.25,18645.25,18653.5,18645.0,18645.25,18685.25,-8.0,-8.5,-9.0,-180.0,10.0,0.5,10.0,10.0,9.25,2024-01-03 06:57:00+00:00,2024-01-03 06:57:00+00:00,2024-01-03 07:07:00+00:00,2024-01-03 07:27:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49345.0
356785,356786,356815,356815,closed,timeout,18608.5,18612.75,18608.75,18612.5,18600.5,18640.5,4.25,3.75,3.25,65.0,10.0,0.5,30.0,30.0,7.25,2024-01-03 09:07:00+00:00,2024-01-03 09:07:00+00:00,2024-01-03 09:37:00+00:00,2024-01-03 09:37:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49410.0
356820,356821,356823,356823,closed,stop,18604.0,18596.0,18604.25,18595.75,18596.0,18636.0,-8.0,-8.5,-9.0,-180.0,10.0,0.5,3.0,3.0,8.5,2024-01-03 09:42:00+00:00,2024-01-03 09:42:00+00:00,2024-01-03 09:45:00+00:00,2024-01-03 10:12:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49230.0
356864,356865,356894,356894,closed,timeout,18588.75,18598.5,18589.0,18598.25,18580.75,18620.75,9.75,9.25,8.75,175.0,10.0,0.5,30.0,30.0,0.5,2024-01-03 10:26:00+00:00,2024-01-03 10:26:00+00:00,2024-01-03 10:56:00+00:00,2024-01-03 10:56:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49405.0
356895,356896,356925,356925,closed,timeout,18596.0,18591.5,18596.25,18591.25,18588.0,18628.0,-4.5,-5.0,-5.5,-110.0,10.0,0.5,30.0,30.0,5.25,2024-01-03 10:57:00+00:00,2024-01-03 10:57:00+00:00,2024-01-03 11:27:00+00:00,2024-01-03 11:27:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49295.0
356962,356963,356965,356965,closed,stop,18580.25,18572.25,18580.5,18572.0,18572.25,18612.25,-8.0,-8.5,-9.0,-180.0,10.0,0.5,3.0,3.0,9.25,2024-01-03 12:04:00+00:00,2024-01-03 12:04:00+00:00,2024-01-03 12:07:00+00:00,2024-01-03 12:34:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49115.0
356965,356966,356979,356979,closed,stop,18574.5,18566.5,18574.75,18566.25,18566.5,18606.5,-8.0,-8.5,-9.0,-180.0,10.0,0.5,14.0,14.0,9.5,2024-01-03 12:07:00+00:00,2024-01-03 12:07:00+00:00,2024-01-03 12:21:00+00:00,2024-01-03 12:37:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,48935.0
356983,356984,356994,356994,closed,stop,18556.75,18548.75,18557.0,18548.5,18548.75,18588.75,-8.0,-8.5,-9.0,-180.0,10.0,0.5,11.0,11.0,9.25,2024-01-03 12:25:00+00:00,2024-01-03 12:25:00+00:00,2024-01-03 12:36:00+00:00,2024-01-03 12:55:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,48755.0
357015,357016,357044,357044,closed,target,18546.75,18578.75,18547.0,18578.5,18538.75,18578.75,32.0,31.5,31.0,620.0,10.0,0.5,29.0,29.0,7.75,2024-01-03 12:57:00+00:00,2024-01-03 12:57:00+00:00,2024-01-03 13:26:00+00:00,2024-01-03 13:27:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49375.0
357065,357066,357077,357077,closed,stop,18573.75,18565.75,18574.0,18565.5,18565.75,18605.75,-8.0,-8.5,-9.0,-180.0,10.0,0.5,12.0,12.0,18.0,2024-01-03 13:47:00+00:00,2024-01-03 13:47:00+00:00,2024-01-03 13:59:00+00:00,2024-01-03 14:17:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49195.0
357136,357137,357139,357139,closed,target,18544.75,18576.75,18545.0,18576.5,18536.75,18576.75,32.0,31.5,31.0,620.0,10.0,0.5,3.0,3.0,6.5,2024-01-03 14:58:00+00:00,2024-01-03 14:58:00+00:00,2024-01-03 15:01:00+00:00,2024-01-03 15:28:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49815.0
357149,357150,357150,357150,closed,stop,18536.0,18528.0,18536.25,18527.75,18528.0,18568.0,-8.0,-8.5,-9.0,-180.0,10.0,0.5,1.0,1.0,12.5,2024-01-03 15:11:00+00:00,2024-01-03 15:11:00+00:00,2024-01-03 15:12:00+00:00,2024-01-03 15:41:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49635.0
357150,357151,357151,357151,closed,stop,18528.25,18520.25,18528.5,18520.0,18520.25,18560.25,-8.0,-8.5,-9.0,-180.0,10.0,0.5,1.0,1.0,15.5,2024-01-03 15:12:00+00:00,2024-01-03 15:12:00+00:00,2024-01-03 15:13:00+00:00,2024-01-03 15:42:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49455.0
357151,357152,357156,357156,closed,stop,18514.5,18506.5,18514.75,18506.25,18506.5,18546.5,-8.0,-8.5,-9.0,-180.0,10.0,0.5,5.0,5.0,9.0,2024-01-03 15:13:00+00:00,2024-01-03 15:13:00+00:00,2024-01-03 15:18:00+00:00,2024-01-03 15:43:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49275.0
357177,357178,357178,357178,closed,stop,18497.0,18489.0,18497.25,18488.75,18489.0,18529.0,-8.0,-8.5,-9.0,-180.0,10.0,0.5,1.0,1.0,12.0,2024-01-03 15:39:00+00:00,2024-01-03 15:39:00+00:00,2024-01-03 15:40:00+00:00,2024-01-03 16:09:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49095.0
357178,357179,357190,357190,closed,target,18488.75,18520.75,18489.0,18520.5,18480.75,18520.75,32.0,31.5,31.0,620.0,10.0,0.5,12.0,12.0,3.75,2024-01-03 15:40:00+00:00,2024-01-03 15:40:00+00:00,2024-01-03 15:52:00+00:00,2024-01-03 16:10:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49715.0
357238,357239,357239,357239,closed,stop,18513.75,18505.75,18514.0,18505.5,18505.75,18545.75,-8.0,-8.5,-9.0,-180.0,10.0,0.5,1.0,1.0,10.75,2024-01-03 16:40:00+00:00,2024-01-03 16:40:00+00:00,2024-01-03 16:41:00+00:00,2024-01-03 17:10:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49535.0
357383,357384,357384,357384,closed,stop,18494.5,18486.5,18494.75,18486.25,18486.5,18526.5,-8.0,-8.5,-9.0,-180.0,10.0,0.5,1.0,1.0,19.25,2024-01-03 19:05:00+00:00,2024-01-03 19:05:00+00:00,2024-01-03 19:06:00+00:00,2024-01-03 19:35:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49355.0
357431,357432,357438,357438,closed,stop,18537.25,18529.25,18537.5,18529.0,18529.25,18569.25,-8.0,-8.5,-9.0,-180.0,10.0,0.5,7.0,7.0,8.25,2024-01-03 19:53:00+00:00,2024-01-03 19:53:00+00:00,2024-01-03 20:00:00+00:00,2024-01-03 20:23:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49175.0
357688,357689,357718,357718,closed,timeout,18497.75,18497.75,18498.0,18497.5,18489.75,18529.75,0.0,-0.5,-1.0,-20.0,10.0,0.5,30.0,30.0,8.0,2024-01-04 01:25:00+00:00,2024-01-04 01:25:00+00:00,2024-01-04 01:55:00+00:00,2024-01-04 01:55:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49155.0
357729,357730,357745,357745,closed,stop,18494.0,18486.0,18494.25,18485.75,18486.0,18526.0,-8.0,-8.5,-9.0,-180.0,10.0,0.5,16.0,16.0,8.25,2024-01-04 02:06:00+00:00,2024-01-04 02:06:00+00:00,2024-01-04 02:22:00+00:00,2024-01-04 02:36:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,48975.0
357809,357810,357839,357839,closed,timeout,18494.75,18490.75,18495.0,18490.5,18486.75,18526.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,30.0,30.0,7.0,2024-01-04 03:26:00+00:00,2024-01-04 03:26:00+00:00,2024-01-04 03:56:00+00:00,2024-01-04 03:56:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,48875.0
357876,357877,357906,357906,closed,timeout,18492.0,18492.5,18492.25,18492.25,18484.0,18524.0,0.5,0.0,-0.5,-10.0,10.0,0.5,30.0,30.0,3.0,2024-01-04 04:33:00+00:00,2024-01-04 04:33:00+00:00,2024-01-04 05:03:00+00:00,2024-01-04 05:03:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,48865.0
357918,357919,357948,357948,closed,timeout,18487.75,18485.5,18488.0,18485.25,18479.75,18519.75,-2.25,-2.75,-3.25,-65.0,10.0,0.5,30.0,30.0,3.75,2024-01-04 05:15:00+00:00,2024-01-04 05:15:00+00:00,2024-01-04 05:45:00+00:00,2024-01-04 05:45:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,48800.0
357966,357967,357996,357996,closed,timeout,18483.0,18501.0,18483.25,18500.75,18475.0,18515.0,18.0,17.5,17.0,340.0,10.0,0.5,30.0,30.0,2.5,2024-01-04 06:03:00+00:00,2024-01-04 06:03:00+00:00,2024-01-04 06:33:00+00:00,2024-01-04 06:33:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,49140.0
358100,358101,358129,358129,closed,stop,18511.75,18503.75,18512.0,18503.5,18503.75,18543.75,-8.0,-8.5,-9.0,-180.0,10.0,0.5,29.0,29.0,9.5,2024-01-04 08:17:00+00:00,2024-01-04 08:17:00+00:00,2024-01-04 08:46:00+00:00,2024-01-04 08:47:00+00:00,trajectory_1163dafd9e9d_12_fd14a16805da,1,market,0.0,30,1,8,32,48960.0
