detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
355291,355292,355294,355294,closed,stop,18945.5,18949.5,18945.25,18949.75,18949.5,18933.5,-4.0,-4.5,-5.0,-100.0,10.0,0.5,3.0,3.0,5.0,2024-01-02 06:58:00+00:00,2024-01-02 06:58:00+00:00,2024-01-02 07:01:00+00:00,2024-01-02 07:01:00+00:00,trajectory_1163dafd9e9d_13_c80b15e060ef,-1,market,0.0,3,1,4,12,49900.0
355418,355419,355421,355421,closed,timeout,18956.75,18952.5,18956.5,18952.75,18960.75,18944.75,4.25,3.75,3.25,65.0,10.0,0.5,3.0,3.0,1.75,2024-01-02 09:05:00+00:00,2024-01-02 09:05:00+00:00,2024-01-02 09:08:00+00:00,2024-01-02 09:08:00+00:00,trajectory_1163dafd9e9d_13_c80b15e060ef,-1,market,0.0,3,1,4,12,49965.0
355525,355526,355528,355528,closed,timeout,18922.75,18921.25,18922.5,18921.5,18926.75,18910.75,1.5,1.0,0.5,10.0,10.0,0.5,3.0,3.0,2.0,2024-01-02 10:52:00+00:00,2024-01-02 10:52:00+00:00,2024-01-02 10:55:00+00:00,2024-01-02 10:55:00+00:00,trajectory_1163dafd9e9d_13_c80b15e060ef,-1,market,0.0,3,1,4,12,49975.0
355540,355541,355542,355542,closed,target,18900.5,18888.5,18900.25,18888.75,18904.5,18888.5,12.0,11.5,11.0,220.0,10.0,0.5,2.0,2.0,2.25,2024-01-02 11:07:00+00:00,2024-01-02 11:07:00+00:00,2024-01-02 11:09:00+00:00,2024-01-02 11:10:00+00:00,trajectory_1163dafd9e9d_13_c80b15e060ef,-1,market,0.0,3,1,4,12,50195.0
355542,355543,355544,355544,closed,stop,18888.5,18892.5,18888.25,18892.75,18892.5,18876.5,-4.0,-4.5,-5.0,-100.0,10.0,0.5,2.0,2.0,4.25,2024-01-02 11:09:00+00:00,2024-01-02 11:09:00+00:00,2024-01-02 11:11:00+00:00,2024-01-02 11:12:00+00:00,trajectory_1163dafd9e9d_13_c80b15e060ef,-1,market,0.0,3,1,4,12,50095.0
355600,355601,355601,355601,closed,stop,18789.25,18793.25,18789.0,18793.5,18793.25,18777.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,9.25,2024-01-02 12:07:00+00:00,2024-01-02 12:07:00+00:00,2024-01-02 12:08:00+00:00,2024-01-02 12:10:00+00:00,trajectory_1163dafd9e9d_13_c80b15e060ef,-1,market,0.0,3,1,4,12,49995.0
355644,355645,355647,355647,closed,timeout,18778.25,18776.0,18778.0,18776.25,18782.25,18766.25,2.25,1.75,1.25,25.0,10.0,0.5,3.0,3.0,3.0,2024-01-02 12:51:00+00:00,2024-01-02 12:51:00+00:00,2024-01-02 12:54:00+00:00,2024-01-02 12:54:00+00:00,trajectory_1163dafd9e9d_13_c80b15e060ef,-1,market,0.0,3,1,4,12,50020.0
355911,355912,355913,355913,closed,stop,18701.25,18705.25,18701.0,18705.5,18705.25,18689.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,2.0,2.0,4.5,2024-01-02 17:18:00+00:00,2024-01-02 17:18:00+00:00,2024-01-02 17:20:00+00:00,2024-01-02 17:21:00+00:00,trajectory_1163dafd9e9d_13_c80b15e060ef,-1,market,0.0,3,1,4,12,49920.0
355942,355943,355944,355944,closed,stop,18689.25,18693.25,18689.0,18693.5,18693.25,18677.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,2.0,2.0,4.5,2024-01-02 17:49:00+00:00,2024-01-02 17:49:00+00:00,2024-01-02 17:51:00+00:00,2024-01-02 17:52:00+00:00,trajectory_1163dafd9e9d_13_c80b15e060ef,-1,market,0.0,3,1,4,12,49820.0
356515,356516,356518,356518,closed,timeout,18638.25,18638.25,18638.0,18638.5,18642.25,18626.25,-0.0,-0.5,-1.0,-20.0,10.0,0.5,3.0,3.0,1.0,2024-01-03 04:37:00+00:00,2024-01-03 04:37:00+00:00,2024-01-03 04:40:00+00:00,2024-01-03 04:40:00+00:00,trajectory_1163dafd9e9d_13_c80b15e060ef,-1,market,0.0,3,1,4,12,49800.0
