detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354896,354897,354926,354926,closed,timeout,18966.5,18968.0,18966.75,18967.75,18954.5,18986.5,1.5,1.0,0.5,10.0,10.0,0.5,30.0,30.0,7.0,2024-01-02 00:23:00+00:00,2024-01-02 00:23:00+00:00,2024-01-02 00:53:00+00:00,2024-01-02 00:53:00+00:00,trajectory_1163dafd9e9d_14_c10b37639a88,1,market,0.0,30,1,12,20,50010.0
355015,355016,355045,355045,closed,timeout,18956.25,18948.0,18956.5,18947.75,18944.25,18976.25,-8.25,-8.75,-9.25,-185.0,10.0,0.5,30.0,30.0,8.75,2024-01-02 02:22:00+00:00,2024-01-02 02:22:00+00:00,2024-01-02 02:52:00+00:00,2024-01-02 02:52:00+00:00,trajectory_1163dafd9e9d_14_c10b37639a88,1,market,0.0,30,1,12,20,49825.0
355050,355051,355080,355080,closed,timeout,18947.25,18948.25,18947.5,18948.0,18935.25,18967.25,1.0,0.5,0.0,0.0,10.0,0.5,30.0,30.0,1.75,2024-01-02 02:57:00+00:00,2024-01-02 02:57:00+00:00,2024-01-02 03:27:00+00:00,2024-01-02 03:27:00+00:00,trajectory_1163dafd9e9d_14_c10b37639a88,1,market,0.0,30,1,12,20,49825.0
355093,355094,355123,355123,closed,timeout,18947.0,18946.5,18947.25,18946.25,18935.0,18967.0,-0.5,-1.0,-1.5,-30.0,10.0,0.5,30.0,30.0,3.75,2024-01-02 03:40:00+00:00,2024-01-02 03:40:00+00:00,2024-01-02 04:10:00+00:00,2024-01-02 04:10:00+00:00,trajectory_1163dafd9e9d_14_c10b37639a88,1,market,0.0,30,1,12,20,49795.0
355172,355173,355202,355202,closed,timeout,18949.5,18959.5,18949.75,18959.25,18937.5,18969.5,10.0,9.5,9.0,180.0,10.0,0.5,30.0,30.0,1.75,2024-01-02 04:59:00+00:00,2024-01-02 04:59:00+00:00,2024-01-02 05:29:00+00:00,2024-01-02 05:29:00+00:00,trajectory_1163dafd9e9d_14_c10b37639a88,1,market,0.0,30,1,12,20,49975.0
355326,355327,355356,355356,closed,timeout,18960.5,18967.25,18960.75,18967.0,18948.5,18980.5,6.75,6.25,5.75,115.0,10.0,0.5,30.0,30.0,7.75,2024-01-02 07:33:00+00:00,2024-01-02 07:33:00+00:00,2024-01-02 08:03:00+00:00,2024-01-02 08:03:00+00:00,trajectory_1163dafd9e9d_14_c10b37639a88,1,market,0.0,30,1,12,20,50090.0
355402,355403,355418,355418,closed,stop,18970.25,18958.25,18970.5,18958.0,18958.25,18990.25,-12.0,-12.5,-13.0,-260.0,10.0,0.5,16.0,16.0,14.0,2024-01-02 08:49:00+00:00,2024-01-02 08:49:00+00:00,2024-01-02 09:05:00+00:00,2024-01-02 09:19:00+00:00,trajectory_1163dafd9e9d_14_c10b37639a88,1,market,0.0,30,1,12,20,49830.0
355455,355456,355485,355485,closed,timeout,18935.75,18932.0,18936.0,18931.75,18923.75,18955.75,-3.75,-4.25,-4.75,-95.0,10.0,0.5,30.0,30.0,6.75,2024-01-02 09:42:00+00:00,2024-01-02 09:42:00+00:00,2024-01-02 10:12:00+00:00,2024-01-02 10:12:00+00:00,trajectory_1163dafd9e9d_14_c10b37639a88,1,market,0.0,30,1,12,20,49735.0
355488,355489,355518,355518,closed,timeout,18928.0,18936.0,18928.25,18935.75,18916.0,18948.0,8.0,7.5,7.0,140.0,10.0,0.5,30.0,30.0,4.5,2024-01-02 10:15:00+00:00,2024-01-02 10:15:00+00:00,2024-01-02 10:45:00+00:00,2024-01-02 10:45:00+00:00,trajectory_1163dafd9e9d_14_c10b37639a88,1,market,0.0,30,1,12,20,49875.0
355529,355530,355532,355532,closed,stop,18924.0,18912.0,18924.25,18911.75,18912.0,18944.0,-12.0,-12.5,-13.0,-260.0,10.0,0.5,3.0,3.0,14.75,2024-01-02 10:56:00+00:00,2024-01-02 10:56:00+00:00,2024-01-02 10:59:00+00:00,2024-01-02 11:26:00+00:00,trajectory_1163dafd9e9d_14_c10b37639a88,1,market,0.0,30,1,12,20,49615.0
355545,355546,355547,355547,closed,stop,18893.25,18881.25,18893.5,18881.0,18881.25,18913.25,-12.0,-12.5,-13.0,-260.0,10.0,0.5,2.0,2.0,15.75,2024-01-02 11:12:00+00:00,2024-01-02 11:12:00+00:00,2024-01-02 11:14:00+00:00,2024-01-02 11:42:00+00:00,trajectory_1163dafd9e9d_14_c10b37639a88,1,market,0.0,30,1,12,20,49355.0
355602,355603,355632,355632,closed,timeout,18799.5,18796.0,18799.75,18795.75,18787.5,18819.5,-3.5,-4.0,-4.5,-90.0,10.0,0.5,30.0,30.0,7.5,2024-01-02 12:09:00+00:00,2024-01-02 12:09:00+00:00,2024-01-02 12:39:00+00:00,2024-01-02 12:39:00+00:00,trajectory_1163dafd9e9d_14_c10b37639a88,1,market,0.0,30,1,12,20,49265.0
355639,355640,355644,355644,closed,stop,18796.0,18784.0,18796.25,18783.75,18784.0,18816.0,-12.0,-12.5,-13.0,-260.0,10.0,0.5,5.0,5.0,19.5,2024-01-02 12:46:00+00:00,2024-01-02 12:46:00+00:00,2024-01-02 12:51:00+00:00,2024-01-02 13:16:00+00:00,trajectory_1163dafd9e9d_14_c10b37639a88,1,market,0.0,30,1,12,20,49005.0
355654,355655,355684,355684,closed,timeout,18768.75,18769.25,18769.0,18769.0,18756.75,18788.75,0.5,0.0,-0.5,-10.0,10.0,0.5,30.0,30.0,10.75,2024-01-02 13:01:00+00:00,2024-01-02 13:01:00+00:00,2024-01-02 13:31:00+00:00,2024-01-02 13:31:00+00:00,trajectory_1163dafd9e9d_14_c10b37639a88,1,market,0.0,30,1,12,20,48995.0
355719,355720,355727,355727,closed,target,18783.25,18803.25,18783.5,18803.0,18771.25,18803.25,20.0,19.5,19.0,380.0,10.0,0.5,8.0,8.0,5.25,2024-01-02 14:06:00+00:00,2024-01-02 14:06:00+00:00,2024-01-02 14:14:00+00:00,2024-01-02 14:36:00+00:00,trajectory_1163dafd9e9d_14_c10b37639a88,1,market,0.0,30,1,12,20,49375.0
355914,355915,355924,355924,closed,stop,18708.5,18696.5,18708.75,18696.25,18696.5,18728.5,-12.0,-12.5,-13.0,-260.0,10.0,0.5,10.0,10.0,16.0,2024-01-02 17:21:00+00:00,2024-01-02 17:21:00+00:00,2024-01-02 17:31:00+00:00,2024-01-02 17:51:00+00:00,trajectory_1163dafd9e9d_14_c10b37639a88,1,market,0.0,30,1,12,20,49115.0
356054,356055,356066,356066,closed,stop,18627.75,18615.75,18628.0,18615.5,18615.75,18647.75,-12.0,-12.5,-13.0,-260.0,10.0,0.5,12.0,12.0,14.0,2024-01-02 19:41:00+00:00,2024-01-02 19:41:00+00:00,2024-01-02 19:53:00+00:00,2024-01-02 20:11:00+00:00,trajectory_1163dafd9e9d_14_c10b37639a88,1,market,0.0,30,1,12,20,48855.0
