detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354918,354919,354928,354928,closed,timeout,18967.5,18967.25,18967.75,18967.0,18947.5,18999.5,-0.25,-0.75,-1.25,-25.0,10.0,0.5,10.0,10.0,2.0,2024-01-02 00:45:00+00:00,2024-01-02 00:45:00+00:00,2024-01-02 00:55:00+00:00,2024-01-02 00:55:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,49975.0
354933,354934,354943,354943,closed,timeout,18968.0,18974.0,18968.25,18973.75,18948.0,19000.0,6.0,5.5,5.0,100.0,10.0,0.5,10.0,10.0,0.75,2024-01-02 01:00:00+00:00,2024-01-02 01:00:00+00:00,2024-01-02 01:10:00+00:00,2024-01-02 01:10:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,50075.0
355003,355004,355013,355013,closed,timeout,18959.5,18954.5,18959.75,18954.25,18939.5,18991.5,-5.0,-5.5,-6.0,-120.0,10.0,0.5,10.0,10.0,6.0,2024-01-02 02:10:00+00:00,2024-01-02 02:10:00+00:00,2024-01-02 02:20:00+00:00,2024-01-02 02:20:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,49955.0
355063,355064,355073,355073,closed,timeout,18951.75,18948.5,18952.0,18948.25,18931.75,18983.75,-3.25,-3.75,-4.25,-85.0,10.0,0.5,10.0,10.0,4.0,2024-01-02 03:10:00+00:00,2024-01-02 03:10:00+00:00,2024-01-02 03:20:00+00:00,2024-01-02 03:20:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,49870.0
355144,355145,355154,355154,closed,timeout,18949.0,18953.5,18949.25,18953.25,18929.0,18981.0,4.5,4.0,3.5,70.0,10.0,0.5,10.0,10.0,0.75,2024-01-02 04:31:00+00:00,2024-01-02 04:31:00+00:00,2024-01-02 04:41:00+00:00,2024-01-02 04:41:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,49940.0
355206,355207,355216,355216,closed,timeout,18958.75,18959.5,18959.0,18959.25,18938.75,18990.75,0.75,0.25,-0.25,-5.0,10.0,0.5,10.0,10.0,2.25,2024-01-02 05:33:00+00:00,2024-01-02 05:33:00+00:00,2024-01-02 05:43:00+00:00,2024-01-02 05:43:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,49935.0
355217,355218,355227,355227,closed,timeout,18959.5,18959.75,18959.75,18959.5,18939.5,18991.5,0.25,-0.25,-0.75,-15.0,10.0,0.5,10.0,10.0,2.25,2024-01-02 05:44:00+00:00,2024-01-02 05:44:00+00:00,2024-01-02 05:54:00+00:00,2024-01-02 05:54:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,49920.0
355259,355260,355269,355269,closed,timeout,18953.5,18952.0,18953.75,18951.75,18933.5,18985.5,-1.5,-2.0,-2.5,-50.0,10.0,0.5,10.0,10.0,3.75,2024-01-02 06:26:00+00:00,2024-01-02 06:26:00+00:00,2024-01-02 06:36:00+00:00,2024-01-02 06:36:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,49870.0
355283,355284,355293,355293,closed,timeout,18952.75,18945.75,18953.0,18945.5,18932.75,18984.75,-7.0,-7.5,-8.0,-160.0,10.0,0.5,10.0,10.0,8.75,2024-01-02 06:50:00+00:00,2024-01-02 06:50:00+00:00,2024-01-02 07:00:00+00:00,2024-01-02 07:00:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,49710.0
355303,355304,355313,355313,closed,timeout,18950.5,18961.75,18950.75,18961.5,18930.5,18982.5,11.25,10.75,10.25,205.0,10.0,0.5,10.0,10.0,0.25,2024-01-02 07:10:00+00:00,2024-01-02 07:10:00+00:00,2024-01-02 07:20:00+00:00,2024-01-02 07:20:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,49915.0
355317,355318,355327,355327,closed,timeout,18962.5,18961.75,18962.75,18961.5,18942.5,18994.5,-0.75,-1.25,-1.75,-35.0,10.0,0.5,10.0,10.0,3.75,2024-01-02 07:24:00+00:00,2024-01-02 07:24:00+00:00,2024-01-02 07:34:00+00:00,2024-01-02 07:34:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,49880.0
355372,355373,355382,355382,closed,timeout,18970.25,18975.0,18970.5,18974.75,18950.25,19002.25,4.75,4.25,3.75,75.0,10.0,0.5,10.0,10.0,4.75,2024-01-02 08:19:00+00:00,2024-01-02 08:19:00+00:00,2024-01-02 08:29:00+00:00,2024-01-02 08:29:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,49955.0
355382,355383,355392,355392,closed,timeout,18974.5,18975.5,18974.75,18975.25,18954.5,19006.5,1.0,0.5,0.0,0.0,10.0,0.5,10.0,10.0,3.5,2024-01-02 08:29:00+00:00,2024-01-02 08:29:00+00:00,2024-01-02 08:39:00+00:00,2024-01-02 08:39:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,49955.0
355442,355443,355452,355452,closed,timeout,18946.25,18939.25,18946.5,18939.0,18926.25,18978.25,-7.0,-7.5,-8.0,-160.0,10.0,0.5,10.0,10.0,9.0,2024-01-02 09:29:00+00:00,2024-01-02 09:29:00+00:00,2024-01-02 09:39:00+00:00,2024-01-02 09:39:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,49795.0
355476,355477,355486,355486,closed,timeout,18936.25,18927.25,18936.5,18927.0,18916.25,18968.25,-9.0,-9.5,-10.0,-200.0,10.0,0.5,10.0,10.0,10.25,2024-01-02 10:03:00+00:00,2024-01-02 10:03:00+00:00,2024-01-02 10:13:00+00:00,2024-01-02 10:13:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,49595.0
355495,355496,355505,355505,closed,timeout,18934.75,18929.75,18935.0,18929.5,18914.75,18966.75,-5.0,-5.5,-6.0,-120.0,10.0,0.5,10.0,10.0,11.25,2024-01-02 10:22:00+00:00,2024-01-02 10:22:00+00:00,2024-01-02 10:32:00+00:00,2024-01-02 10:32:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,49475.0
355589,355590,355599,355599,closed,timeout,18815.0,18803.75,18815.25,18803.5,18795.0,18847.0,-11.25,-11.75,-12.25,-245.0,10.0,0.5,10.0,10.0,12.5,2024-01-02 11:56:00+00:00,2024-01-02 11:56:00+00:00,2024-01-02 12:06:00+00:00,2024-01-02 12:06:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,49230.0
355620,355621,355630,355630,closed,timeout,18808.75,18799.75,18809.0,18799.5,18788.75,18840.75,-9.0,-9.5,-10.0,-200.0,10.0,0.5,10.0,10.0,13.0,2024-01-02 12:27:00+00:00,2024-01-02 12:27:00+00:00,2024-01-02 12:37:00+00:00,2024-01-02 12:37:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,49030.0
355706,355707,355716,355716,closed,timeout,18787.25,18790.25,18787.5,18790.0,18767.25,18819.25,3.0,2.5,2.0,40.0,10.0,0.5,10.0,10.0,2.25,2024-01-02 13:53:00+00:00,2024-01-02 13:53:00+00:00,2024-01-02 14:03:00+00:00,2024-01-02 14:03:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,49070.0
355735,355736,355744,355744,closed,stop,18806.0,18786.0,18806.25,18785.75,18786.0,18838.0,-20.0,-20.5,-21.0,-420.0,10.0,0.5,9.0,9.0,24.25,2024-01-02 14:22:00+00:00,2024-01-02 14:22:00+00:00,2024-01-02 14:31:00+00:00,2024-01-02 14:32:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,48650.0
355833,355834,355843,355843,closed,timeout,18652.0,18677.25,18652.25,18677.0,18632.0,18684.0,25.25,24.75,24.25,485.0,10.0,0.5,10.0,10.0,2.0,2024-01-02 16:00:00+00:00,2024-01-02 16:00:00+00:00,2024-01-02 16:10:00+00:00,2024-01-02 16:10:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,49135.0
355848,355849,355858,355858,closed,timeout,18688.75,18690.0,18689.0,18689.75,18668.75,18720.75,1.25,0.75,0.25,5.0,10.0,0.5,10.0,10.0,4.5,2024-01-02 16:15:00+00:00,2024-01-02 16:15:00+00:00,2024-01-02 16:25:00+00:00,2024-01-02 16:25:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,49140.0
355863,355864,355873,355873,closed,timeout,18702.5,18705.25,18702.75,18705.0,18682.5,18734.5,2.75,2.25,1.75,35.0,10.0,0.5,10.0,10.0,3.25,2024-01-02 16:30:00+00:00,2024-01-02 16:30:00+00:00,2024-01-02 16:40:00+00:00,2024-01-02 16:40:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,49175.0
355898,355899,355908,355908,closed,timeout,18724.0,18720.0,18724.25,18719.75,18704.0,18756.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,10.0,10.0,10.0,2024-01-02 17:05:00+00:00,2024-01-02 17:05:00+00:00,2024-01-02 17:15:00+00:00,2024-01-02 17:15:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,49075.0
355932,355933,355942,355942,closed,stop,18716.25,18696.25,18716.5,18696.0,18696.25,18748.25,-20.0,-20.5,-21.0,-420.0,10.0,0.5,10.0,10.0,31.5,2024-01-02 17:39:00+00:00,2024-01-02 17:39:00+00:00,2024-01-02 17:49:00+00:00,2024-01-02 17:49:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,48655.0
355971,355972,355981,355981,closed,timeout,18663.5,18675.0,18663.75,18674.75,18643.5,18695.5,11.5,11.0,10.5,210.0,10.0,0.5,10.0,10.0,0.5,2024-01-02 18:18:00+00:00,2024-01-02 18:18:00+00:00,2024-01-02 18:28:00+00:00,2024-01-02 18:28:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,48865.0
355984,355985,355994,355994,closed,timeout,18676.75,18679.0,18677.0,18678.75,18656.75,18708.75,2.25,1.75,1.25,25.0,10.0,0.5,10.0,10.0,9.0,2024-01-02 18:31:00+00:00,2024-01-02 18:31:00+00:00,2024-01-02 18:41:00+00:00,2024-01-02 18:41:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,48890.0
356040,356041,356050,356050,closed,timeout,18634.25,18634.0,18634.5,18633.75,18614.25,18666.25,-0.25,-0.75,-1.25,-25.0,10.0,0.5,10.0,10.0,3.0,2024-01-02 19:27:00+00:00,2024-01-02 19:27:00+00:00,2024-01-02 19:37:00+00:00,2024-01-02 19:37:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,48865.0
356098,356099,356108,356108,closed,timeout,18584.5,18590.0,18584.75,18589.75,18564.5,18616.5,5.5,5.0,4.5,90.0,10.0,0.5,10.0,10.0,8.0,2024-01-02 20:25:00+00:00,2024-01-02 20:25:00+00:00,2024-01-02 20:35:00+00:00,2024-01-02 20:35:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,48955.0
356321,356322,356331,356331,closed,timeout,18654.5,18651.0,18654.75,18650.75,18634.5,18686.5,-3.5,-4.0,-4.5,-90.0,10.0,0.5,10.0,10.0,4.0,2024-01-03 01:23:00+00:00,2024-01-03 01:23:00+00:00,2024-01-03 01:33:00+00:00,2024-01-03 01:33:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,48865.0
356395,356396,356405,356405,closed,timeout,18645.5,18645.5,18645.75,18645.25,18625.5,18677.5,0.0,-0.5,-1.0,-20.0,10.0,0.5,10.0,10.0,0.75,2024-01-03 02:37:00+00:00,2024-01-03 02:37:00+00:00,2024-01-03 02:47:00+00:00,2024-01-03 02:47:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,48845.0
356553,356554,356563,356563,closed,timeout,18636.75,18634.25,18637.0,18634.0,18616.75,18668.75,-2.5,-3.0,-3.5,-70.0,10.0,0.5,10.0,10.0,3.0,2024-01-03 05:15:00+00:00,2024-01-03 05:15:00+00:00,2024-01-03 05:25:00+00:00,2024-01-03 05:25:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,48775.0
356602,356603,356612,356612,closed,timeout,18647.25,18645.5,18647.5,18645.25,18627.25,18679.25,-1.75,-2.25,-2.75,-55.0,10.0,0.5,10.0,10.0,6.0,2024-01-03 06:04:00+00:00,2024-01-03 06:04:00+00:00,2024-01-03 06:14:00+00:00,2024-01-03 06:14:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,48720.0
356624,356625,356634,356634,closed,timeout,18650.5,18653.5,18650.75,18653.25,18630.5,18682.5,3.0,2.5,2.0,40.0,10.0,0.5,10.0,10.0,0.25,2024-01-03 06:26:00+00:00,2024-01-03 06:26:00+00:00,2024-01-03 06:36:00+00:00,2024-01-03 06:36:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,48760.0
356648,356649,356658,356658,closed,timeout,18656.5,18652.75,18656.75,18652.5,18636.5,18688.5,-3.75,-4.25,-4.75,-95.0,10.0,0.5,10.0,10.0,4.75,2024-01-03 06:50:00+00:00,2024-01-03 06:50:00+00:00,2024-01-03 07:00:00+00:00,2024-01-03 07:00:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,48665.0
356701,356702,356711,356711,closed,timeout,18651.25,18651.25,18651.5,18651.0,18631.25,18683.25,0.0,-0.5,-1.0,-20.0,10.0,0.5,10.0,10.0,2.0,2024-01-03 07:43:00+00:00,2024-01-03 07:43:00+00:00,2024-01-03 07:53:00+00:00,2024-01-03 07:53:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,48645.0
356712,356713,356722,356722,closed,timeout,18652.5,18652.75,18652.75,18652.5,18632.5,18684.5,0.25,-0.25,-0.75,-15.0,10.0,0.5,10.0,10.0,4.25,2024-01-03 07:54:00+00:00,2024-01-03 07:54:00+00:00,2024-01-03 08:04:00+00:00,2024-01-03 08:04:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,48630.0
356878,356879,356888,356888,closed,timeout,18605.25,18602.0,18605.5,18601.75,18585.25,18637.25,-3.25,-3.75,-4.25,-85.0,10.0,0.5,10.0,10.0,5.0,2024-01-03 10:40:00+00:00,2024-01-03 10:40:00+00:00,2024-01-03 10:50:00+00:00,2024-01-03 10:50:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,48545.0
356950,356951,356960,356960,closed,timeout,18589.25,18588.25,18589.5,18588.0,18569.25,18621.25,-1.0,-1.5,-2.0,-40.0,10.0,0.5,10.0,10.0,6.5,2024-01-03 11:52:00+00:00,2024-01-03 11:52:00+00:00,2024-01-03 12:02:00+00:00,2024-01-03 12:02:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,48505.0
357007,357008,357017,357017,closed,timeout,18553.25,18547.75,18553.5,18547.5,18533.25,18585.25,-5.5,-6.0,-6.5,-130.0,10.0,0.5,10.0,10.0,7.5,2024-01-03 12:49:00+00:00,2024-01-03 12:49:00+00:00,2024-01-03 12:59:00+00:00,2024-01-03 12:59:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,48375.0
357029,357030,357039,357039,closed,timeout,18554.0,18574.5,18554.25,18574.25,18534.0,18586.0,20.5,20.0,19.5,390.0,10.0,0.5,10.0,10.0,3.75,2024-01-03 13:11:00+00:00,2024-01-03 13:11:00+00:00,2024-01-03 13:21:00+00:00,2024-01-03 13:21:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,48765.0
357048,357049,357058,357058,closed,timeout,18580.0,18585.75,18580.25,18585.5,18560.0,18612.0,5.75,5.25,4.75,95.0,10.0,0.5,10.0,10.0,7.75,2024-01-03 13:30:00+00:00,2024-01-03 13:30:00+00:00,2024-01-03 13:40:00+00:00,2024-01-03 13:40:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,48860.0
357061,357062,357071,357071,closed,timeout,18584.25,18578.25,18584.5,18578.0,18564.25,18616.25,-6.0,-6.5,-7.0,-140.0,10.0,0.5,10.0,10.0,14.25,2024-01-03 13:43:00+00:00,2024-01-03 13:43:00+00:00,2024-01-03 13:53:00+00:00,2024-01-03 13:53:00+00:00,trajectory_1163dafd9e9d_15_26ec1137cf66,1,market,0.0,10,1,20,32,48720.0
