detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354918,354919,354933,354933,closed,timeout,18967.5,18968.25,18967.75,18968.0,18955.5,18987.5,0.75,0.25,-0.25,-5.0,10.0,0.5,15.0,15.0,2.0,2024-01-02 00:45:00+00:00,2024-01-02 00:45:00+00:00,2024-01-02 01:00:00+00:00,2024-01-02 01:00:00+00:00,trajectory_1163dafd9e9d_15_63a5e4f8e8f9,1,market,0.0,15,1,12,20,49995.0
354933,354934,354948,354948,closed,timeout,18968.0,18970.5,18968.25,18970.25,18956.0,18988.0,2.5,2.0,1.5,30.0,10.0,0.5,15.0,15.0,0.75,2024-01-02 01:00:00+00:00,2024-01-02 01:00:00+00:00,2024-01-02 01:15:00+00:00,2024-01-02 01:15:00+00:00,trajectory_1163dafd9e9d_15_63a5e4f8e8f9,1,market,0.0,15,1,12,20,50025.0
355003,355004,355018,355018,closed,timeout,18959.5,18955.5,18959.75,18955.25,18947.5,18979.5,-4.0,-4.5,-5.0,-100.0,10.0,0.5,15.0,15.0,6.75,2024-01-02 02:10:00+00:00,2024-01-02 02:10:00+00:00,2024-01-02 02:25:00+00:00,2024-01-02 02:25:00+00:00,trajectory_1163dafd9e9d_15_63a5e4f8e8f9,1,market,0.0,15,1,12,20,49925.0
355063,355064,355078,355078,closed,timeout,18951.75,18946.75,18952.0,18946.5,18939.75,18971.75,-5.0,-5.5,-6.0,-120.0,10.0,0.5,15.0,15.0,5.75,2024-01-02 03:10:00+00:00,2024-01-02 03:10:00+00:00,2024-01-02 03:25:00+00:00,2024-01-02 03:25:00+00:00,trajectory_1163dafd9e9d_15_63a5e4f8e8f9,1,market,0.0,15,1,12,20,49805.0
355144,355145,355159,355159,closed,timeout,18949.0,18951.5,18949.25,18951.25,18937.0,18969.0,2.5,2.0,1.5,30.0,10.0,0.5,15.0,15.0,0.75,2024-01-02 04:31:00+00:00,2024-01-02 04:31:00+00:00,2024-01-02 04:46:00+00:00,2024-01-02 04:46:00+00:00,trajectory_1163dafd9e9d_15_63a5e4f8e8f9,1,market,0.0,15,1,12,20,49835.0
355206,355207,355221,355221,closed,timeout,18958.75,18958.75,18959.0,18958.5,18946.75,18978.75,0.0,-0.5,-1.0,-20.0,10.0,0.5,15.0,15.0,2.25,2024-01-02 05:33:00+00:00,2024-01-02 05:33:00+00:00,2024-01-02 05:48:00+00:00,2024-01-02 05:48:00+00:00,trajectory_1163dafd9e9d_15_63a5e4f8e8f9,1,market,0.0,15,1,12,20,49815.0
355259,355260,355274,355274,closed,timeout,18953.5,18949.0,18953.75,18948.75,18941.5,18973.5,-4.5,-5.0,-5.5,-110.0,10.0,0.5,15.0,15.0,5.25,2024-01-02 06:26:00+00:00,2024-01-02 06:26:00+00:00,2024-01-02 06:41:00+00:00,2024-01-02 06:41:00+00:00,trajectory_1163dafd9e9d_15_63a5e4f8e8f9,1,market,0.0,15,1,12,20,49705.0
355283,355284,355298,355298,closed,timeout,18952.75,18946.0,18953.0,18945.75,18940.75,18972.75,-6.75,-7.25,-7.75,-155.0,10.0,0.5,15.0,15.0,8.75,2024-01-02 06:50:00+00:00,2024-01-02 06:50:00+00:00,2024-01-02 07:05:00+00:00,2024-01-02 07:05:00+00:00,trajectory_1163dafd9e9d_15_63a5e4f8e8f9,1,market,0.0,15,1,12,20,49550.0
355303,355304,355318,355318,closed,timeout,18950.5,18963.25,18950.75,18963.0,18938.5,18970.5,12.75,12.25,11.75,235.0,10.0,0.5,15.0,15.0,0.25,2024-01-02 07:10:00+00:00,2024-01-02 07:10:00+00:00,2024-01-02 07:25:00+00:00,2024-01-02 07:25:00+00:00,trajectory_1163dafd9e9d_15_63a5e4f8e8f9,1,market,0.0,15,1,12,20,49785.0
355318,355319,355333,355333,closed,timeout,18963.25,18960.25,18963.5,18960.0,18951.25,18983.25,-3.0,-3.5,-4.0,-80.0,10.0,0.5,15.0,15.0,4.5,2024-01-02 07:25:00+00:00,2024-01-02 07:25:00+00:00,2024-01-02 07:40:00+00:00,2024-01-02 07:40:00+00:00,trajectory_1163dafd9e9d_15_63a5e4f8e8f9,1,market,0.0,15,1,12,20,49705.0
