detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354911,354912,354912,354912,closed,timeout,18967.25,18968.5,18967.0,18968.75,18971.25,18935.25,-1.25,-1.75,-2.25,-45.0,10.0,0.5,1.0,1.0,1.75,2024-01-02 00:38:00+00:00,2024-01-02 00:38:00+00:00,2024-01-02 00:39:00+00:00,2024-01-02 00:39:00+00:00,trajectory_1163dafd9e9d_16_52f5612189e5,-1,market,0.0,1,1,4,32,49955.0
354912,354913,354913,354913,closed,timeout,18968.0,18968.0,18967.75,18968.25,18972.0,18936.0,-0.0,-0.5,-1.0,-20.0,10.0,0.5,1.0,1.0,1.0,2024-01-02 00:39:00+00:00,2024-01-02 00:39:00+00:00,2024-01-02 00:40:00+00:00,2024-01-02 00:40:00+00:00,trajectory_1163dafd9e9d_16_52f5612189e5,-1,market,0.0,1,1,4,32,49935.0
354936,354937,354937,354937,closed,timeout,18973.0,18974.0,18972.75,18974.25,18977.0,18941.0,-1.0,-1.5,-2.0,-40.0,10.0,0.5,1.0,1.0,1.75,2024-01-02 01:03:00+00:00,2024-01-02 01:03:00+00:00,2024-01-02 01:04:00+00:00,2024-01-02 01:04:00+00:00,trajectory_1163dafd9e9d_16_52f5612189e5,-1,market,0.0,1,1,4,32,49895.0
354937,354938,354938,354938,closed,stop,18973.75,18977.75,18973.5,18978.0,18977.75,18941.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,4.75,2024-01-02 01:04:00+00:00,2024-01-02 01:04:00+00:00,2024-01-02 01:05:00+00:00,2024-01-02 01:05:00+00:00,trajectory_1163dafd9e9d_16_52f5612189e5,-1,market,0.0,1,1,4,32,49795.0
354939,354940,354940,354940,closed,timeout,18979.25,18978.5,18979.0,18978.75,18983.25,18947.25,0.75,0.25,-0.25,-5.0,10.0,0.5,1.0,1.0,0.75,2024-01-02 01:06:00+00:00,2024-01-02 01:06:00+00:00,2024-01-02 01:07:00+00:00,2024-01-02 01:07:00+00:00,trajectory_1163dafd9e9d_16_52f5612189e5,-1,market,0.0,1,1,4,32,49790.0
355149,355150,355150,355150,closed,timeout,18952.25,18952.75,18952.0,18953.0,18956.25,18920.25,-0.5,-1.0,-1.5,-30.0,10.0,0.5,1.0,1.0,2.25,2024-01-02 04:36:00+00:00,2024-01-02 04:36:00+00:00,2024-01-02 04:37:00+00:00,2024-01-02 04:37:00+00:00,trajectory_1163dafd9e9d_16_52f5612189e5,-1,market,0.0,1,1,4,32,49760.0
355150,355151,355151,355151,closed,timeout,18952.5,18953.0,18952.25,18953.25,18956.5,18920.5,-0.5,-1.0,-1.5,-30.0,10.0,0.5,1.0,1.0,0.75,2024-01-02 04:37:00+00:00,2024-01-02 04:37:00+00:00,2024-01-02 04:38:00+00:00,2024-01-02 04:38:00+00:00,trajectory_1163dafd9e9d_16_52f5612189e5,-1,market,0.0,1,1,4,32,49730.0
355188,355189,355189,355189,closed,timeout,18957.5,18957.0,18957.25,18957.25,18961.5,18925.5,0.5,-0.0,-0.5,-10.0,10.0,0.5,1.0,1.0,0.25,2024-01-02 05:15:00+00:00,2024-01-02 05:15:00+00:00,2024-01-02 05:16:00+00:00,2024-01-02 05:16:00+00:00,trajectory_1163dafd9e9d_16_52f5612189e5,-1,market,0.0,1,1,4,32,49720.0
355305,355306,355306,355306,closed,stop,18955.5,18959.5,18955.25,18959.75,18959.5,18923.5,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,5.0,2024-01-02 07:12:00+00:00,2024-01-02 07:12:00+00:00,2024-01-02 07:13:00+00:00,2024-01-02 07:13:00+00:00,trajectory_1163dafd9e9d_16_52f5612189e5,-1,market,0.0,1,1,4,32,49620.0
355306,355307,355307,355307,closed,timeout,18959.5,18959.0,18959.25,18959.25,18963.5,18927.5,0.5,-0.0,-0.5,-10.0,10.0,0.5,1.0,1.0,0.75,2024-01-02 07:13:00+00:00,2024-01-02 07:13:00+00:00,2024-01-02 07:14:00+00:00,2024-01-02 07:14:00+00:00,trajectory_1163dafd9e9d_16_52f5612189e5,-1,market,0.0,1,1,4,32,49610.0
355355,355356,355356,355356,closed,timeout,18967.25,18967.25,18967.0,18967.5,18971.25,18935.25,-0.0,-0.5,-1.0,-20.0,10.0,0.5,1.0,1.0,1.75,2024-01-02 08:02:00+00:00,2024-01-02 08:02:00+00:00,2024-01-02 08:03:00+00:00,2024-01-02 08:03:00+00:00,trajectory_1163dafd9e9d_16_52f5612189e5,-1,market,0.0,1,1,4,32,49590.0
355357,355358,355358,355358,closed,timeout,18969.75,18969.5,18969.5,18969.75,18973.75,18937.75,0.25,-0.25,-0.75,-15.0,10.0,0.5,1.0,1.0,1.25,2024-01-02 08:04:00+00:00,2024-01-02 08:04:00+00:00,2024-01-02 08:05:00+00:00,2024-01-02 08:05:00+00:00,trajectory_1163dafd9e9d_16_52f5612189e5,-1,market,0.0,1,1,4,32,49575.0
355359,355360,355360,355360,closed,timeout,18972.5,18966.5,18972.25,18966.75,18976.5,18940.5,6.0,5.5,5.0,100.0,10.0,0.5,1.0,1.0,0.75,2024-01-02 08:06:00+00:00,2024-01-02 08:06:00+00:00,2024-01-02 08:07:00+00:00,2024-01-02 08:07:00+00:00,trajectory_1163dafd9e9d_16_52f5612189e5,-1,market,0.0,1,1,4,32,49675.0
