detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354911,354912,354926,354926,closed,timeout,18967.25,18968.0,18967.5,18967.75,18959.25,18999.25,0.75,0.25,-0.25,-5.0,10.0,0.5,15.0,15.0,2.5,2024-01-02 00:38:00+00:00,2024-01-02 00:38:00+00:00,2024-01-02 00:53:00+00:00,2024-01-02 00:53:00+00:00,trajectory_1163dafd9e9d_16_96595b23b8fa,1,market,0.0,15,1,8,32,49995.0
354936,354937,354951,354951,closed,timeout,18973.0,18976.0,18973.25,18975.75,18965.0,19005.0,3.0,2.5,2.0,40.0,10.0,0.5,15.0,15.0,3.25,2024-01-02 01:03:00+00:00,2024-01-02 01:03:00+00:00,2024-01-02 01:18:00+00:00,2024-01-02 01:18:00+00:00,trajectory_1163dafd9e9d_16_96595b23b8fa,1,market,0.0,15,1,8,32,50035.0
355149,355150,355164,355164,closed,timeout,18952.25,18951.5,18952.5,18951.25,18944.25,18984.25,-0.75,-1.25,-1.75,-35.0,10.0,0.5,15.0,15.0,2.5,2024-01-02 04:36:00+00:00,2024-01-02 04:36:00+00:00,2024-01-02 04:51:00+00:00,2024-01-02 04:51:00+00:00,trajectory_1163dafd9e9d_16_96595b23b8fa,1,market,0.0,15,1,8,32,50000.0
355188,355189,355203,355203,closed,timeout,18957.5,18958.25,18957.75,18958.0,18949.5,18989.5,0.75,0.25,-0.25,-5.0,10.0,0.5,15.0,15.0,4.0,2024-01-02 05:15:00+00:00,2024-01-02 05:15:00+00:00,2024-01-02 05:30:00+00:00,2024-01-02 05:30:00+00:00,trajectory_1163dafd9e9d_16_96595b23b8fa,1,market,0.0,15,1,8,32,49995.0
355305,355306,355320,355320,closed,timeout,18955.5,18964.25,18955.75,18964.0,18947.5,18987.5,8.75,8.25,7.75,155.0,10.0,0.5,15.0,15.0,0.25,2024-01-02 07:12:00+00:00,2024-01-02 07:12:00+00:00,2024-01-02 07:27:00+00:00,2024-01-02 07:27:00+00:00,trajectory_1163dafd9e9d_16_96595b23b8fa,1,market,0.0,15,1,8,32,50150.0
355355,355356,355370,355370,closed,timeout,18967.25,18967.5,18967.5,18967.25,18959.25,18999.25,0.25,-0.25,-0.75,-15.0,10.0,0.5,15.0,15.0,3.75,2024-01-02 08:02:00+00:00,2024-01-02 08:02:00+00:00,2024-01-02 08:17:00+00:00,2024-01-02 08:17:00+00:00,trajectory_1163dafd9e9d_16_96595b23b8fa,1,market,0.0,15,1,8,32,50135.0
355514,355515,355523,355523,closed,stop,18937.25,18929.25,18937.5,18929.0,18929.25,18969.25,-8.0,-8.5,-9.0,-180.0,10.0,0.5,9.0,9.0,8.5,2024-01-02 10:41:00+00:00,2024-01-02 10:41:00+00:00,2024-01-02 10:50:00+00:00,2024-01-02 10:56:00+00:00,trajectory_1163dafd9e9d_16_96595b23b8fa,1,market,0.0,15,1,8,32,49955.0
355685,355686,355691,355691,closed,stop,18780.5,18772.5,18780.75,18772.25,18772.5,18812.5,-8.0,-8.5,-9.0,-180.0,10.0,0.5,6.0,6.0,8.25,2024-01-02 13:32:00+00:00,2024-01-02 13:32:00+00:00,2024-01-02 13:38:00+00:00,2024-01-02 13:47:00+00:00,trajectory_1163dafd9e9d_16_96595b23b8fa,1,market,0.0,15,1,8,32,49775.0
356125,356126,356135,356135,closed,target,18636.5,18668.5,18636.75,18668.25,18628.5,18668.5,32.0,31.5,31.0,620.0,10.0,0.5,10.0,10.0,6.75,2024-01-02 20:52:00+00:00,2024-01-02 20:52:00+00:00,2024-01-02 21:02:00+00:00,2024-01-02 21:07:00+00:00,trajectory_1163dafd9e9d_16_96595b23b8fa,1,market,0.0,15,1,8,32,50395.0
356254,356255,356269,356269,closed,timeout,18668.75,18666.25,18669.0,18666.0,18660.75,18700.75,-2.5,-3.0,-3.5,-70.0,10.0,0.5,15.0,15.0,3.5,2024-01-03 00:16:00+00:00,2024-01-03 00:16:00+00:00,2024-01-03 00:31:00+00:00,2024-01-03 00:31:00+00:00,trajectory_1163dafd9e9d_16_96595b23b8fa,1,market,0.0,15,1,8,32,50325.0
