detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354949,354950,354950,354950,closed,timeout,18974.0,18976.25,18974.25,18976.0,18970.0,19006.0,2.25,1.75,1.25,25.0,10.0,0.5,1.0,1.0,1.0,2024-01-02 01:16:00+00:00,2024-01-02 01:16:00+00:00,2024-01-02 01:17:00+00:00,2024-01-02 01:17:00+00:00,trajectory_1163dafd9e9d_17_8346db7cf1cc,1,market,0.0,1,1,4,32,50025.0
354964,354965,354965,354965,closed,timeout,18972.5,18970.5,18972.75,18970.25,18968.5,19004.5,-2.0,-2.5,-3.0,-60.0,10.0,0.5,1.0,1.0,2.5,2024-01-02 01:31:00+00:00,2024-01-02 01:31:00+00:00,2024-01-02 01:32:00+00:00,2024-01-02 01:32:00+00:00,trajectory_1163dafd9e9d_17_8346db7cf1cc,1,market,0.0,1,1,4,32,49965.0
354979,354980,354980,354980,closed,timeout,18959.75,18958.75,18960.0,18958.5,18955.75,18991.75,-1.0,-1.5,-2.0,-40.0,10.0,0.5,1.0,1.0,2.25,2024-01-02 01:46:00+00:00,2024-01-02 01:46:00+00:00,2024-01-02 01:47:00+00:00,2024-01-02 01:47:00+00:00,trajectory_1163dafd9e9d_17_8346db7cf1cc,1,market,0.0,1,1,4,32,49925.0
355018,355019,355019,355019,closed,timeout,18955.0,18954.5,18955.25,18954.25,18951.0,18987.0,-0.5,-1.0,-1.5,-30.0,10.0,0.5,1.0,1.0,0.75,2024-01-02 02:25:00+00:00,2024-01-02 02:25:00+00:00,2024-01-02 02:26:00+00:00,2024-01-02 02:26:00+00:00,trajectory_1163dafd9e9d_17_8346db7cf1cc,1,market,0.0,1,1,4,32,49895.0
355025,355026,355026,355026,closed,timeout,18953.75,18953.5,18954.0,18953.25,18949.75,18985.75,-0.25,-0.75,-1.25,-25.0,10.0,0.5,1.0,1.0,1.0,2024-01-02 02:32:00+00:00,2024-01-02 02:32:00+00:00,2024-01-02 02:33:00+00:00,2024-01-02 02:33:00+00:00,trajectory_1163dafd9e9d_17_8346db7cf1cc,1,market,0.0,1,1,4,32,49870.0
355033,355034,355034,355034,closed,timeout,18952.0,18951.25,18952.25,18951.0,18948.0,18984.0,-0.75,-1.25,-1.75,-35.0,10.0,0.5,1.0,1.0,1.25,2024-01-02 02:40:00+00:00,2024-01-02 02:40:00+00:00,2024-01-02 02:41:00+00:00,2024-01-02 02:41:00+00:00,trajectory_1163dafd9e9d_17_8346db7cf1cc,1,market,0.0,1,1,4,32,49835.0
355174,355175,355175,355175,closed,timeout,18950.5,18952.25,18950.75,18952.0,18946.5,18982.5,1.75,1.25,0.75,15.0,10.0,0.5,1.0,1.0,0.75,2024-01-02 05:01:00+00:00,2024-01-02 05:01:00+00:00,2024-01-02 05:02:00+00:00,2024-01-02 05:02:00+00:00,trajectory_1163dafd9e9d_17_8346db7cf1cc,1,market,0.0,1,1,4,32,49850.0
355224,355225,355225,355225,closed,timeout,18959.0,18959.0,18959.25,18958.75,18955.0,18991.0,0.0,-0.5,-1.0,-20.0,10.0,0.5,1.0,1.0,0.5,2024-01-02 05:51:00+00:00,2024-01-02 05:51:00+00:00,2024-01-02 05:52:00+00:00,2024-01-02 05:52:00+00:00,trajectory_1163dafd9e9d_17_8346db7cf1cc,1,market,0.0,1,1,4,32,49830.0
355234,355235,355235,355235,closed,timeout,18960.0,18958.75,18960.25,18958.5,18956.0,18992.0,-1.25,-1.75,-2.25,-45.0,10.0,0.5,1.0,1.0,1.75,2024-01-02 06:01:00+00:00,2024-01-02 06:01:00+00:00,2024-01-02 06:02:00+00:00,2024-01-02 06:02:00+00:00,trajectory_1163dafd9e9d_17_8346db7cf1cc,1,market,0.0,1,1,4,32,49785.0
355275,355276,355276,355276,closed,timeout,18951.0,18951.5,18951.25,18951.25,18947.0,18983.0,0.5,0.0,-0.5,-10.0,10.0,0.5,1.0,1.0,0.25,2024-01-02 06:42:00+00:00,2024-01-02 06:42:00+00:00,2024-01-02 06:43:00+00:00,2024-01-02 06:43:00+00:00,trajectory_1163dafd9e9d_17_8346db7cf1cc,1,market,0.0,1,1,4,32,49775.0
355294,355295,355295,355295,closed,timeout,18948.75,18950.5,18949.0,18950.25,18944.75,18980.75,1.75,1.25,0.75,15.0,10.0,0.5,1.0,1.0,0.75,2024-01-02 07:01:00+00:00,2024-01-02 07:01:00+00:00,2024-01-02 07:02:00+00:00,2024-01-02 07:02:00+00:00,trajectory_1163dafd9e9d_17_8346db7cf1cc,1,market,0.0,1,1,4,32,49790.0
355299,355300,355300,355300,closed,timeout,18947.25,18947.25,18947.5,18947.0,18943.25,18979.25,0.0,-0.5,-1.0,-20.0,10.0,0.5,1.0,1.0,1.0,2024-01-02 07:06:00+00:00,2024-01-02 07:06:00+00:00,2024-01-02 07:07:00+00:00,2024-01-02 07:07:00+00:00,trajectory_1163dafd9e9d_17_8346db7cf1cc,1,market,0.0,1,1,4,32,49770.0
355327,355328,355328,355328,closed,timeout,18961.0,18961.0,18961.25,18960.75,18957.0,18993.0,0.0,-0.5,-1.0,-20.0,10.0,0.5,1.0,1.0,1.25,2024-01-02 07:34:00+00:00,2024-01-02 07:34:00+00:00,2024-01-02 07:35:00+00:00,2024-01-02 07:35:00+00:00,trajectory_1163dafd9e9d_17_8346db7cf1cc,1,market,0.0,1,1,4,32,49750.0
355331,355332,355332,355332,closed,timeout,18961.25,18960.25,18961.5,18960.0,18957.25,18993.25,-1.0,-1.5,-2.0,-40.0,10.0,0.5,1.0,1.0,1.75,2024-01-02 07:38:00+00:00,2024-01-02 07:38:00+00:00,2024-01-02 07:39:00+00:00,2024-01-02 07:39:00+00:00,trajectory_1163dafd9e9d_17_8346db7cf1cc,1,market,0.0,1,1,4,32,49710.0
355341,355342,355342,355342,closed,timeout,18957.0,18958.25,18957.25,18958.0,18953.0,18989.0,1.25,0.75,0.25,5.0,10.0,0.5,1.0,1.0,0.5,2024-01-02 07:48:00+00:00,2024-01-02 07:48:00+00:00,2024-01-02 07:49:00+00:00,2024-01-02 07:49:00+00:00,trajectory_1163dafd9e9d_17_8346db7cf1cc,1,market,0.0,1,1,4,32,49715.0
355396,355397,355397,355397,closed,timeout,18975.25,18974.25,18975.5,18974.0,18971.25,19007.25,-1.0,-1.5,-2.0,-40.0,10.0,0.5,1.0,1.0,1.75,2024-01-02 08:43:00+00:00,2024-01-02 08:43:00+00:00,2024-01-02 08:44:00+00:00,2024-01-02 08:44:00+00:00,trajectory_1163dafd9e9d_17_8346db7cf1cc,1,market,0.0,1,1,4,32,49675.0
355469,355470,355470,355470,closed,timeout,18935.25,18936.75,18935.5,18936.5,18931.25,18967.25,1.5,1.0,0.5,10.0,10.0,0.5,1.0,1.0,0.25,2024-01-02 09:56:00+00:00,2024-01-02 09:56:00+00:00,2024-01-02 09:57:00+00:00,2024-01-02 09:57:00+00:00,trajectory_1163dafd9e9d_17_8346db7cf1cc,1,market,0.0,1,1,4,32,49685.0
355603,355604,355604,355604,closed,timeout,18806.25,18808.0,18806.5,18807.75,18802.25,18838.25,1.75,1.25,0.75,15.0,10.0,0.5,1.0,1.0,2.25,2024-01-02 12:10:00+00:00,2024-01-02 12:10:00+00:00,2024-01-02 12:11:00+00:00,2024-01-02 12:11:00+00:00,trajectory_1163dafd9e9d_17_8346db7cf1cc,1,market,0.0,1,1,4,32,49700.0
355625,355626,355626,355626,closed,stop,18803.75,18799.75,18804.0,18799.5,18799.75,18835.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,5.5,2024-01-02 12:32:00+00:00,2024-01-02 12:32:00+00:00,2024-01-02 12:33:00+00:00,2024-01-02 12:33:00+00:00,trajectory_1163dafd9e9d_17_8346db7cf1cc,1,market,0.0,1,1,4,32,49600.0
