detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354913,354914,354958,354958,closed,timeout,18968.25,18974.75,18968.5,18974.5,18956.25,18988.25,6.5,6.0,5.5,110.0,10.0,0.5,45.0,45.0,3.5,2024-01-02 00:40:00+00:00,2024-01-02 00:40:00+00:00,2024-01-02 01:25:00+00:00,2024-01-02 01:25:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,50110.0
355128,355129,355173,355173,closed,timeout,18949.5,18949.0,18949.75,18948.75,18937.5,18969.5,-0.5,-1.0,-1.5,-30.0,10.0,0.5,45.0,45.0,3.0,2024-01-02 04:15:00+00:00,2024-01-02 04:15:00+00:00,2024-01-02 05:00:00+00:00,2024-01-02 05:00:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,50080.0
355189,355190,355234,355234,closed,timeout,18957.0,18959.25,18957.25,18959.0,18945.0,18977.0,2.25,1.75,1.25,25.0,10.0,0.5,45.0,45.0,3.5,2024-01-02 05:16:00+00:00,2024-01-02 05:16:00+00:00,2024-01-02 06:01:00+00:00,2024-01-02 06:01:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,50105.0
355307,355308,355352,355352,closed,timeout,18959.0,18959.5,18959.25,18959.25,18947.0,18979.0,0.5,0.0,-0.5,-10.0,10.0,0.5,45.0,45.0,6.25,2024-01-02 07:14:00+00:00,2024-01-02 07:14:00+00:00,2024-01-02 07:59:00+00:00,2024-01-02 07:59:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,50095.0
355356,355357,355401,355401,closed,timeout,18966.75,18970.0,18967.0,18969.75,18954.75,18986.75,3.25,2.75,2.25,45.0,10.0,0.5,45.0,45.0,3.25,2024-01-02 08:03:00+00:00,2024-01-02 08:03:00+00:00,2024-01-02 08:48:00+00:00,2024-01-02 08:48:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,50140.0
355687,355688,355691,355691,closed,stop,18786.5,18774.5,18786.75,18774.25,18774.5,18806.5,-12.0,-12.5,-13.0,-260.0,10.0,0.5,4.0,4.0,14.25,2024-01-02 13:34:00+00:00,2024-01-02 13:34:00+00:00,2024-01-02 13:38:00+00:00,2024-01-02 14:19:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,49880.0
355845,355846,355847,355847,closed,stop,18694.0,18682.0,18694.25,18681.75,18682.0,18714.0,-12.0,-12.5,-13.0,-260.0,10.0,0.5,2.0,2.0,13.25,2024-01-02 16:12:00+00:00,2024-01-02 16:12:00+00:00,2024-01-02 16:14:00+00:00,2024-01-02 16:57:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,49620.0
355935,355936,355939,355939,closed,stop,18725.25,18713.25,18725.5,18713.0,18713.25,18745.25,-12.0,-12.5,-13.0,-260.0,10.0,0.5,4.0,4.0,16.5,2024-01-02 17:42:00+00:00,2024-01-02 17:42:00+00:00,2024-01-02 17:46:00+00:00,2024-01-02 18:27:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,49360.0
356255,356256,356292,356292,closed,stop,18669.0,18657.0,18669.25,18656.75,18657.0,18689.0,-12.0,-12.5,-13.0,-260.0,10.0,0.5,37.0,37.0,13.0,2024-01-03 00:17:00+00:00,2024-01-03 00:17:00+00:00,2024-01-03 00:54:00+00:00,2024-01-03 01:02:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,49100.0
356354,356355,356380,356380,closed,stop,18657.25,18645.25,18657.5,18645.0,18645.25,18677.25,-12.0,-12.5,-13.0,-260.0,10.0,0.5,26.0,26.0,12.5,2024-01-03 01:56:00+00:00,2024-01-03 01:56:00+00:00,2024-01-03 02:22:00+00:00,2024-01-03 02:41:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,48840.0
356453,356454,356498,356498,closed,timeout,18649.5,18641.5,18649.75,18641.25,18637.5,18669.5,-8.0,-8.5,-9.0,-180.0,10.0,0.5,45.0,45.0,10.0,2024-01-03 03:35:00+00:00,2024-01-03 03:35:00+00:00,2024-01-03 04:20:00+00:00,2024-01-03 04:20:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,48660.0
356573,356574,356618,356618,closed,timeout,18645.25,18647.75,18645.5,18647.5,18633.25,18665.25,2.5,2.0,1.5,30.0,10.0,0.5,45.0,45.0,4.75,2024-01-03 05:35:00+00:00,2024-01-03 05:35:00+00:00,2024-01-03 06:20:00+00:00,2024-01-03 06:20:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,48690.0
356627,356628,356672,356672,closed,timeout,18654.25,18650.5,18654.5,18650.25,18642.25,18674.25,-3.75,-4.25,-4.75,-95.0,10.0,0.5,45.0,45.0,10.25,2024-01-03 06:29:00+00:00,2024-01-03 06:29:00+00:00,2024-01-03 07:14:00+00:00,2024-01-03 07:14:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,48595.0
356731,356732,356746,356746,closed,stop,18666.0,18654.0,18666.25,18653.75,18654.0,18686.0,-12.0,-12.5,-13.0,-260.0,10.0,0.5,15.0,15.0,13.0,2024-01-03 08:13:00+00:00,2024-01-03 08:13:00+00:00,2024-01-03 08:28:00+00:00,2024-01-03 08:58:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,48335.0
356874,356875,356919,356919,closed,timeout,18605.0,18599.5,18605.25,18599.25,18593.0,18625.0,-5.5,-6.0,-6.5,-130.0,10.0,0.5,45.0,45.0,10.25,2024-01-03 10:36:00+00:00,2024-01-03 10:36:00+00:00,2024-01-03 11:21:00+00:00,2024-01-03 11:21:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,48205.0
357039,357040,357077,357077,closed,stop,18574.5,18562.5,18574.75,18562.25,18562.5,18594.5,-12.0,-12.5,-13.0,-260.0,10.0,0.5,38.0,38.0,18.75,2024-01-03 13:21:00+00:00,2024-01-03 13:21:00+00:00,2024-01-03 13:59:00+00:00,2024-01-03 14:06:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,47945.0
357200,357201,357206,357206,closed,stop,18550.0,18538.0,18550.25,18537.75,18538.0,18570.0,-12.0,-12.5,-13.0,-260.0,10.0,0.5,6.0,6.0,15.25,2024-01-03 16:02:00+00:00,2024-01-03 16:02:00+00:00,2024-01-03 16:08:00+00:00,2024-01-03 16:47:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,47685.0
357287,357288,357316,357316,closed,target,18515.5,18535.5,18515.75,18535.25,18503.5,18535.5,20.0,19.5,19.0,380.0,10.0,0.5,29.0,29.0,3.75,2024-01-03 17:29:00+00:00,2024-01-03 17:29:00+00:00,2024-01-03 17:58:00+00:00,2024-01-03 18:14:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,48065.0
357318,357319,357339,357339,closed,stop,18541.5,18529.5,18541.75,18529.25,18529.5,18561.5,-12.0,-12.5,-13.0,-260.0,10.0,0.5,21.0,21.0,12.75,2024-01-03 18:00:00+00:00,2024-01-03 18:00:00+00:00,2024-01-03 18:21:00+00:00,2024-01-03 18:45:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,47805.0
357408,357409,357411,357411,closed,stop,18559.5,18547.5,18559.75,18547.25,18547.5,18579.5,-12.0,-12.5,-13.0,-260.0,10.0,0.5,3.0,3.0,15.25,2024-01-03 19:30:00+00:00,2024-01-03 19:30:00+00:00,2024-01-03 19:33:00+00:00,2024-01-03 20:15:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,47545.0
357627,357628,357672,357672,closed,timeout,18489.75,18500.25,18490.0,18500.0,18477.75,18509.75,10.5,10.0,9.5,190.0,10.0,0.5,45.0,45.0,0.75,2024-01-04 00:24:00+00:00,2024-01-04 00:24:00+00:00,2024-01-04 01:09:00+00:00,2024-01-04 01:09:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,47735.0
357779,357780,357824,357824,closed,timeout,18493.25,18492.5,18493.5,18492.25,18481.25,18513.25,-0.75,-1.25,-1.75,-35.0,10.0,0.5,45.0,45.0,3.25,2024-01-04 02:56:00+00:00,2024-01-04 02:56:00+00:00,2024-01-04 03:41:00+00:00,2024-01-04 03:41:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,47700.0
357846,357847,357891,357891,closed,timeout,18493.5,18491.5,18493.75,18491.25,18481.5,18513.5,-2.0,-2.5,-3.0,-60.0,10.0,0.5,45.0,45.0,2.75,2024-01-04 04:03:00+00:00,2024-01-04 04:03:00+00:00,2024-01-04 04:48:00+00:00,2024-01-04 04:48:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,47640.0
357984,357985,358018,358018,closed,target,18488.0,18508.0,18488.25,18507.75,18476.0,18508.0,20.0,19.5,19.0,380.0,10.0,0.5,34.0,34.0,0.5,2024-01-04 06:21:00+00:00,2024-01-04 06:21:00+00:00,2024-01-04 06:55:00+00:00,2024-01-04 07:06:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,48020.0
358019,358020,358064,358064,closed,timeout,18508.5,18521.5,18508.75,18521.25,18496.5,18528.5,13.0,12.5,12.0,240.0,10.0,0.5,45.0,45.0,1.75,2024-01-04 06:56:00+00:00,2024-01-04 06:56:00+00:00,2024-01-04 07:41:00+00:00,2024-01-04 07:41:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,48260.0
358155,358156,358200,358200,closed,timeout,18504.5,18515.75,18504.75,18515.5,18492.5,18524.5,11.25,10.75,10.25,205.0,10.0,0.5,45.0,45.0,5.75,2024-01-04 09:12:00+00:00,2024-01-04 09:12:00+00:00,2024-01-04 09:57:00+00:00,2024-01-04 09:57:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,48465.0
358222,358223,358247,358247,closed,stop,18516.75,18504.75,18517.0,18504.5,18504.75,18536.75,-12.0,-12.5,-13.0,-260.0,10.0,0.5,25.0,25.0,13.0,2024-01-04 10:19:00+00:00,2024-01-04 10:19:00+00:00,2024-01-04 10:44:00+00:00,2024-01-04 11:04:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,48205.0
358576,358577,358580,358580,closed,target,18500.0,18520.0,18500.25,18519.75,18488.0,18520.0,20.0,19.5,19.0,380.0,10.0,0.5,4.0,4.0,0.75,2024-01-04 16:13:00+00:00,2024-01-04 16:13:00+00:00,2024-01-04 16:17:00+00:00,2024-01-04 16:58:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,48585.0
358580,358581,358593,358593,closed,stop,18520.25,18508.25,18520.5,18508.0,18508.25,18540.25,-12.0,-12.5,-13.0,-260.0,10.0,0.5,13.0,13.0,18.5,2024-01-04 16:17:00+00:00,2024-01-04 16:17:00+00:00,2024-01-04 16:30:00+00:00,2024-01-04 17:02:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,48325.0
359236,359237,359263,359263,closed,stop,18397.0,18385.0,18397.25,18384.75,18385.0,18417.0,-12.0,-12.5,-13.0,-260.0,10.0,0.5,27.0,27.0,13.5,2024-01-05 04:28:00+00:00,2024-01-05 04:28:00+00:00,2024-01-05 04:55:00+00:00,2024-01-05 05:13:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,48065.0
359463,359464,359501,359501,closed,stop,18363.75,18351.75,18364.0,18351.5,18351.75,18383.75,-12.0,-12.5,-13.0,-260.0,10.0,0.5,38.0,38.0,12.5,2024-01-05 08:15:00+00:00,2024-01-05 08:15:00+00:00,2024-01-05 08:53:00+00:00,2024-01-05 09:00:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,47805.0
359530,359531,359542,359542,closed,stop,18360.25,18348.25,18360.5,18348.0,18348.25,18380.25,-12.0,-12.5,-13.0,-260.0,10.0,0.5,12.0,12.0,12.75,2024-01-05 09:22:00+00:00,2024-01-05 09:22:00+00:00,2024-01-05 09:34:00+00:00,2024-01-05 10:07:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,47545.0
359632,359633,359653,359653,closed,stop,18334.25,18322.25,18334.5,18322.0,18322.25,18354.25,-12.0,-12.5,-13.0,-260.0,10.0,0.5,21.0,21.0,12.25,2024-01-05 11:04:00+00:00,2024-01-05 11:04:00+00:00,2024-01-05 11:25:00+00:00,2024-01-05 11:49:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,47285.0
359689,359690,359734,359734,closed,timeout,18332.25,18342.5,18332.5,18342.25,18320.25,18352.25,10.25,9.75,9.25,185.0,10.0,0.5,45.0,45.0,10.25,2024-01-05 12:01:00+00:00,2024-01-05 12:01:00+00:00,2024-01-05 12:46:00+00:00,2024-01-05 12:46:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,47470.0
359764,359765,359779,359779,closed,stop,18341.75,18329.75,18342.0,18329.5,18329.75,18361.75,-12.0,-12.5,-13.0,-260.0,10.0,0.5,15.0,15.0,54.75,2024-01-05 13:16:00+00:00,2024-01-05 13:16:00+00:00,2024-01-05 13:31:00+00:00,2024-01-05 14:01:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,47210.0
359844,359845,359848,359848,closed,stop,18423.75,18411.75,18424.0,18411.5,18411.75,18443.75,-12.0,-12.5,-13.0,-260.0,10.0,0.5,4.0,4.0,20.5,2024-01-05 14:36:00+00:00,2024-01-05 14:36:00+00:00,2024-01-05 14:40:00+00:00,2024-01-05 15:21:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,46950.0
359873,359874,359884,359884,closed,stop,18481.5,18469.5,18481.75,18469.25,18469.5,18501.5,-12.0,-12.5,-13.0,-260.0,10.0,0.5,11.0,11.0,16.0,2024-01-05 15:05:00+00:00,2024-01-05 15:05:00+00:00,2024-01-05 15:16:00+00:00,2024-01-05 15:50:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,46690.0
360077,360078,360079,360079,closed,target,18404.5,18424.5,18404.75,18424.25,18392.5,18424.5,20.0,19.5,19.0,380.0,10.0,0.5,2.0,2.0,1.0,2024-01-05 18:29:00+00:00,2024-01-05 18:29:00+00:00,2024-01-05 18:31:00+00:00,2024-01-05 19:14:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,47070.0
360081,360082,360088,360088,closed,target,18424.0,18444.0,18424.25,18443.75,18412.0,18444.0,20.0,19.5,19.0,380.0,10.0,0.5,7.0,7.0,6.75,2024-01-05 18:33:00+00:00,2024-01-05 18:33:00+00:00,2024-01-05 18:40:00+00:00,2024-01-05 19:18:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,47450.0
360355,360356,360400,360400,closed,timeout,18437.75,18436.5,18438.0,18436.25,18425.75,18457.75,-1.25,-1.75,-2.25,-45.0,10.0,0.5,45.0,45.0,8.25,2024-01-08 00:22:00+00:00,2024-01-08 00:22:00+00:00,2024-01-08 01:07:00+00:00,2024-01-08 01:07:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,47405.0
360404,360405,360443,360443,closed,stop,18440.0,18428.0,18440.25,18427.75,18428.0,18460.0,-12.0,-12.5,-13.0,-260.0,10.0,0.5,39.0,39.0,13.25,2024-01-08 01:11:00+00:00,2024-01-08 01:11:00+00:00,2024-01-08 01:50:00+00:00,2024-01-08 01:56:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,47145.0
360597,360598,360642,360642,closed,timeout,18390.25,18394.25,18390.5,18394.0,18378.25,18410.25,4.0,3.5,3.0,60.0,10.0,0.5,45.0,45.0,5.75,2024-01-08 04:24:00+00:00,2024-01-08 04:24:00+00:00,2024-01-08 05:09:00+00:00,2024-01-08 05:09:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,47205.0
360702,360703,360725,360725,closed,stop,18392.25,18380.25,18392.5,18380.0,18380.25,18412.25,-12.0,-12.5,-13.0,-260.0,10.0,0.5,23.0,23.0,19.0,2024-01-08 06:09:00+00:00,2024-01-08 06:09:00+00:00,2024-01-08 06:32:00+00:00,2024-01-08 06:54:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,46945.0
360748,360749,360765,360765,closed,target,18381.75,18401.75,18382.0,18401.5,18369.75,18401.75,20.0,19.5,19.0,380.0,10.0,0.5,17.0,17.0,2.5,2024-01-08 06:55:00+00:00,2024-01-08 06:55:00+00:00,2024-01-08 07:12:00+00:00,2024-01-08 07:40:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,47325.0
360765,360766,360788,360788,closed,stop,18402.0,18390.0,18402.25,18389.75,18390.0,18422.0,-12.0,-12.5,-13.0,-260.0,10.0,0.5,23.0,23.0,13.25,2024-01-08 07:12:00+00:00,2024-01-08 07:12:00+00:00,2024-01-08 07:35:00+00:00,2024-01-08 07:57:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,47065.0
360918,360919,360928,360928,closed,target,18341.5,18361.5,18341.75,18361.25,18329.5,18361.5,20.0,19.5,19.0,380.0,10.0,0.5,10.0,10.0,1.25,2024-01-08 09:45:00+00:00,2024-01-08 09:45:00+00:00,2024-01-08 09:55:00+00:00,2024-01-08 10:30:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,47445.0
360928,360929,360968,360968,closed,target,18362.5,18382.5,18362.75,18382.25,18350.5,18382.5,20.0,19.5,19.0,380.0,10.0,0.5,40.0,40.0,2.25,2024-01-08 09:55:00+00:00,2024-01-08 09:55:00+00:00,2024-01-08 10:35:00+00:00,2024-01-08 10:40:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,47825.0
361008,361009,361012,361012,closed,stop,18384.25,18372.25,18384.5,18372.0,18372.25,18404.25,-12.0,-12.5,-13.0,-260.0,10.0,0.5,4.0,4.0,13.5,2024-01-08 11:15:00+00:00,2024-01-08 11:15:00+00:00,2024-01-08 11:19:00+00:00,2024-01-08 12:00:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,47565.0
361028,361029,361041,361041,closed,target,18386.25,18406.25,18386.5,18406.0,18374.25,18406.25,20.0,19.5,19.0,380.0,10.0,0.5,13.0,13.0,7.5,2024-01-08 11:35:00+00:00,2024-01-08 11:35:00+00:00,2024-01-08 11:48:00+00:00,2024-01-08 12:20:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,47945.0
361065,361066,361085,361085,closed,stop,18416.0,18404.0,18416.25,18403.75,18404.0,18436.0,-12.0,-12.5,-13.0,-260.0,10.0,0.5,20.0,20.0,15.0,2024-01-08 12:12:00+00:00,2024-01-08 12:12:00+00:00,2024-01-08 12:32:00+00:00,2024-01-08 12:57:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,47685.0
361115,361116,361122,361122,closed,stop,18424.75,18412.75,18425.0,18412.5,18412.75,18444.75,-12.0,-12.5,-13.0,-260.0,10.0,0.5,7.0,7.0,12.25,2024-01-08 13:02:00+00:00,2024-01-08 13:02:00+00:00,2024-01-08 13:09:00+00:00,2024-01-08 13:47:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,47425.0
361139,361140,361160,361160,closed,stop,18437.25,18425.25,18437.5,18425.0,18425.25,18457.25,-12.0,-12.5,-13.0,-260.0,10.0,0.5,21.0,21.0,12.25,2024-01-08 13:26:00+00:00,2024-01-08 13:26:00+00:00,2024-01-08 13:47:00+00:00,2024-01-08 14:11:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,47165.0
361188,361189,361204,361204,closed,target,18436.5,18456.5,18436.75,18456.25,18424.5,18456.5,20.0,19.5,19.0,380.0,10.0,0.5,16.0,16.0,0.25,2024-01-08 14:15:00+00:00,2024-01-08 14:15:00+00:00,2024-01-08 14:31:00+00:00,2024-01-08 15:00:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,47545.0
361208,361209,361213,361213,closed,target,18486.75,18506.75,18487.0,18506.5,18474.75,18506.75,20.0,19.5,19.0,380.0,10.0,0.5,5.0,5.0,3.0,2024-01-08 14:35:00+00:00,2024-01-08 14:35:00+00:00,2024-01-08 14:40:00+00:00,2024-01-08 15:20:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,47925.0
361214,361215,361217,361217,closed,stop,18513.25,18501.25,18513.5,18501.0,18501.25,18533.25,-12.0,-12.5,-13.0,-260.0,10.0,0.5,3.0,3.0,13.5,2024-01-08 14:41:00+00:00,2024-01-08 14:41:00+00:00,2024-01-08 14:44:00+00:00,2024-01-08 15:26:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,47665.0
361220,361221,361231,361231,closed,target,18529.0,18549.0,18529.25,18548.75,18517.0,18549.0,20.0,19.5,19.0,380.0,10.0,0.5,11.0,11.0,11.0,2024-01-08 14:47:00+00:00,2024-01-08 14:47:00+00:00,2024-01-08 14:58:00+00:00,2024-01-08 15:32:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,48045.0
361234,361235,361239,361239,closed,target,18564.5,18584.5,18564.75,18584.25,18552.5,18584.5,20.0,19.5,19.0,380.0,10.0,0.5,5.0,5.0,10.75,2024-01-08 15:01:00+00:00,2024-01-08 15:01:00+00:00,2024-01-08 15:06:00+00:00,2024-01-08 15:46:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,48425.0
361389,361390,361408,361408,closed,target,18639.5,18659.5,18639.75,18659.25,18627.5,18659.5,20.0,19.5,19.0,380.0,10.0,0.5,19.0,19.0,2.5,2024-01-08 17:36:00+00:00,2024-01-08 17:36:00+00:00,2024-01-08 17:55:00+00:00,2024-01-08 18:21:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,48805.0
361462,361463,361488,361488,closed,target,18673.75,18693.75,18674.0,18693.5,18661.75,18693.75,20.0,19.5,19.0,380.0,10.0,0.5,26.0,26.0,7.0,2024-01-08 18:49:00+00:00,2024-01-08 18:49:00+00:00,2024-01-08 19:15:00+00:00,2024-01-08 19:34:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,49185.0
361505,361506,361526,361526,closed,target,18702.0,18722.0,18702.25,18721.75,18690.0,18722.0,20.0,19.5,19.0,380.0,10.0,0.5,21.0,21.0,1.75,2024-01-08 19:32:00+00:00,2024-01-08 19:32:00+00:00,2024-01-08 19:53:00+00:00,2024-01-08 20:17:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,49565.0
361707,361708,361752,361752,closed,timeout,18733.25,18729.0,18733.5,18728.75,18721.25,18753.25,-4.25,-4.75,-5.25,-105.0,10.0,0.5,45.0,45.0,9.25,2024-01-09 00:09:00+00:00,2024-01-09 00:09:00+00:00,2024-01-09 00:54:00+00:00,2024-01-09 00:54:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,49460.0
362008,362009,-1,362013,unresolved,unexpected_gap,18726.0,,18726.25,,18714.0,18746.0,,,,,,,,,2.25,2024-01-09 05:10:00+00:00,2024-01-09 05:10:00+00:00,,2024-01-09 05:55:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,
362102,362103,362119,362119,closed,stop,18728.25,18716.25,18728.5,18716.0,18716.25,18748.25,-12.0,-12.5,-13.0,-260.0,10.0,0.5,17.0,17.0,15.0,2024-01-09 06:45:00+00:00,2024-01-09 06:45:00+00:00,2024-01-09 07:02:00+00:00,2024-01-09 07:30:00+00:00,trajectory_1163dafd9e9d_19_e357dc47fc29,1,market,0.0,45,1,12,20,
