detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354913,354914,354933,354933,closed,timeout,18968.25,18968.25,18968.5,18968.0,18956.25,18988.25,0.0,-0.5,-1.0,-20.0,10.0,0.5,20.0,20.0,3.5,2024-01-02 00:40:00+00:00,2024-01-02 00:40:00+00:00,2024-01-02 01:00:00+00:00,2024-01-02 01:00:00+00:00,trajectory_1163dafd9e9d_19_e68496537e93,1,market,0.0,20,1,12,20,49980.0
354940,354941,354960,354960,closed,timeout,18978.75,18973.75,18979.0,18973.5,18966.75,18998.75,-5.0,-5.5,-6.0,-120.0,10.0,0.5,20.0,20.0,9.0,2024-01-02 01:07:00+00:00,2024-01-02 01:07:00+00:00,2024-01-02 01:27:00+00:00,2024-01-02 01:27:00+00:00,trajectory_1163dafd9e9d_19_e68496537e93,1,market,0.0,20,1,12,20,49860.0
355128,355129,355148,355148,closed,timeout,18949.5,18951.0,18949.75,18950.75,18937.5,18969.5,1.5,1.0,0.5,10.0,10.0,0.5,20.0,20.0,3.0,2024-01-02 04:15:00+00:00,2024-01-02 04:15:00+00:00,2024-01-02 04:35:00+00:00,2024-01-02 04:35:00+00:00,trajectory_1163dafd9e9d_19_e68496537e93,1,market,0.0,20,1,12,20,49870.0
355151,355152,355171,355171,closed,timeout,18953.0,18949.0,18953.25,18948.75,18941.0,18973.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,20.0,20.0,4.5,2024-01-02 04:38:00+00:00,2024-01-02 04:38:00+00:00,2024-01-02 04:58:00+00:00,2024-01-02 04:58:00+00:00,trajectory_1163dafd9e9d_19_e68496537e93,1,market,0.0,20,1,12,20,49770.0
355189,355190,355209,355209,closed,timeout,18957.0,18957.75,18957.25,18957.5,18945.0,18977.0,0.75,0.25,-0.25,-5.0,10.0,0.5,20.0,20.0,3.5,2024-01-02 05:16:00+00:00,2024-01-02 05:16:00+00:00,2024-01-02 05:36:00+00:00,2024-01-02 05:36:00+00:00,trajectory_1163dafd9e9d_19_e68496537e93,1,market,0.0,20,1,12,20,49765.0
355307,355308,355327,355327,closed,timeout,18959.0,18961.75,18959.25,18961.5,18947.0,18979.0,2.75,2.25,1.75,35.0,10.0,0.5,20.0,20.0,1.5,2024-01-02 07:14:00+00:00,2024-01-02 07:14:00+00:00,2024-01-02 07:34:00+00:00,2024-01-02 07:34:00+00:00,trajectory_1163dafd9e9d_19_e68496537e93,1,market,0.0,20,1,12,20,49800.0
355356,355357,355376,355376,closed,timeout,18966.75,18971.5,18967.0,18971.25,18954.75,18986.75,4.75,4.25,3.75,75.0,10.0,0.5,20.0,20.0,3.25,2024-01-02 08:03:00+00:00,2024-01-02 08:03:00+00:00,2024-01-02 08:23:00+00:00,2024-01-02 08:23:00+00:00,trajectory_1163dafd9e9d_19_e68496537e93,1,market,0.0,20,1,12,20,49875.0
355687,355688,355691,355691,closed,stop,18786.5,18774.5,18786.75,18774.25,18774.5,18806.5,-12.0,-12.5,-13.0,-260.0,10.0,0.5,4.0,4.0,14.25,2024-01-02 13:34:00+00:00,2024-01-02 13:34:00+00:00,2024-01-02 13:38:00+00:00,2024-01-02 13:54:00+00:00,trajectory_1163dafd9e9d_19_e68496537e93,1,market,0.0,20,1,12,20,49615.0
355845,355846,355847,355847,closed,stop,18694.0,18682.0,18694.25,18681.75,18682.0,18714.0,-12.0,-12.5,-13.0,-260.0,10.0,0.5,2.0,2.0,13.25,2024-01-02 16:12:00+00:00,2024-01-02 16:12:00+00:00,2024-01-02 16:14:00+00:00,2024-01-02 16:32:00+00:00,trajectory_1163dafd9e9d_19_e68496537e93,1,market,0.0,20,1,12,20,49355.0
355935,355936,355939,355939,closed,stop,18725.25,18713.25,18725.5,18713.0,18713.25,18745.25,-12.0,-12.5,-13.0,-260.0,10.0,0.5,4.0,4.0,16.5,2024-01-02 17:42:00+00:00,2024-01-02 17:42:00+00:00,2024-01-02 17:46:00+00:00,2024-01-02 18:02:00+00:00,trajectory_1163dafd9e9d_19_e68496537e93,1,market,0.0,20,1,12,20,49095.0
