detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354874,354875,354894,354894,closed,timeout,18969.75,18966.75,18970.0,18966.5,18949.75,19001.75,-3.0,-3.5,-4.0,-80.0,10.0,0.5,20.0,20.0,4.25,2024-01-02 00:01:00+00:00,2024-01-02 00:01:00+00:00,2024-01-02 00:21:00+00:00,2024-01-02 00:21:00+00:00,trajectory_1163dafd9e9d_20_96fefa0e6429,1,market,0.0,20,1,20,32,49920.0
354954,354955,354974,354974,closed,timeout,18973.75,18961.25,18974.0,18961.0,18953.75,19005.75,-12.5,-13.0,-13.5,-270.0,10.0,0.5,20.0,20.0,14.25,2024-01-02 01:21:00+00:00,2024-01-02 01:21:00+00:00,2024-01-02 01:41:00+00:00,2024-01-02 01:41:00+00:00,trajectory_1163dafd9e9d_20_96fefa0e6429,1,market,0.0,20,1,20,32,49650.0
355009,355010,355029,355029,closed,timeout,18957.0,18953.5,18957.25,18953.25,18937.0,18989.0,-3.5,-4.0,-4.5,-90.0,10.0,0.5,20.0,20.0,7.5,2024-01-02 02:16:00+00:00,2024-01-02 02:16:00+00:00,2024-01-02 02:36:00+00:00,2024-01-02 02:36:00+00:00,trajectory_1163dafd9e9d_20_96fefa0e6429,1,market,0.0,20,1,20,32,49560.0
355090,355091,355110,355110,closed,timeout,18947.0,18946.25,18947.25,18946.0,18927.0,18979.0,-0.75,-1.25,-1.75,-35.0,10.0,0.5,20.0,20.0,3.75,2024-01-02 03:37:00+00:00,2024-01-02 03:37:00+00:00,2024-01-02 03:57:00+00:00,2024-01-02 03:57:00+00:00,trajectory_1163dafd9e9d_20_96fefa0e6429,1,market,0.0,20,1,20,32,49525.0
355114,355115,355134,355134,closed,timeout,18946.25,18948.25,18946.5,18948.0,18926.25,18978.25,2.0,1.5,1.0,20.0,10.0,0.5,20.0,20.0,2.0,2024-01-02 04:01:00+00:00,2024-01-02 04:01:00+00:00,2024-01-02 04:21:00+00:00,2024-01-02 04:21:00+00:00,trajectory_1163dafd9e9d_20_96fefa0e6429,1,market,0.0,20,1,20,32,49545.0
355158,355159,355178,355178,closed,timeout,18950.5,18951.25,18950.75,18951.0,18930.5,18982.5,0.75,0.25,-0.25,-5.0,10.0,0.5,20.0,20.0,2.25,2024-01-02 04:45:00+00:00,2024-01-02 04:45:00+00:00,2024-01-02 05:05:00+00:00,2024-01-02 05:05:00+00:00,trajectory_1163dafd9e9d_20_96fefa0e6429,1,market,0.0,20,1,20,32,49540.0
355223,355224,355243,355243,closed,timeout,18957.75,18954.5,18958.0,18954.25,18937.75,18989.75,-3.25,-3.75,-4.25,-85.0,10.0,0.5,20.0,20.0,4.5,2024-01-02 05:50:00+00:00,2024-01-02 05:50:00+00:00,2024-01-02 06:10:00+00:00,2024-01-02 06:10:00+00:00,trajectory_1163dafd9e9d_20_96fefa0e6429,1,market,0.0,20,1,20,32,49455.0
355268,355269,355288,355288,closed,timeout,18951.0,18949.5,18951.25,18949.25,18931.0,18983.0,-1.5,-2.0,-2.5,-50.0,10.0,0.5,20.0,20.0,2.75,2024-01-02 06:35:00+00:00,2024-01-02 06:35:00+00:00,2024-01-02 06:55:00+00:00,2024-01-02 06:55:00+00:00,trajectory_1163dafd9e9d_20_96fefa0e6429,1,market,0.0,20,1,20,32,49405.0
355609,355610,355629,355629,closed,timeout,18802.25,18803.25,18802.5,18803.0,18782.25,18834.25,1.0,0.5,0.0,0.0,10.0,0.5,20.0,20.0,10.25,2024-01-02 12:16:00+00:00,2024-01-02 12:16:00+00:00,2024-01-02 12:36:00+00:00,2024-01-02 12:36:00+00:00,trajectory_1163dafd9e9d_20_96fefa0e6429,1,market,0.0,20,1,20,32,49405.0
355717,355718,355737,355737,closed,timeout,18785.25,18814.75,18785.5,18814.5,18765.25,18817.25,29.5,29.0,28.5,570.0,10.0,0.5,20.0,20.0,9.75,2024-01-02 14:04:00+00:00,2024-01-02 14:04:00+00:00,2024-01-02 14:24:00+00:00,2024-01-02 14:24:00+00:00,trajectory_1163dafd9e9d_20_96fefa0e6429,1,market,0.0,20,1,20,32,49975.0
355741,355742,355744,355744,closed,stop,18804.75,18784.75,18805.0,18784.5,18784.75,18836.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,3.0,3.0,23.0,2024-01-02 14:28:00+00:00,2024-01-02 14:28:00+00:00,2024-01-02 14:31:00+00:00,2024-01-02 14:48:00+00:00,trajectory_1163dafd9e9d_20_96fefa0e6429,1,market,0.0,20,1,20,32,49555.0
355800,355801,355804,355804,closed,stop,18669.25,18649.25,18669.5,18649.0,18649.25,18701.25,-20.0,-20.5,-21.0,-420.0,10.0,0.5,4.0,4.0,23.75,2024-01-02 15:27:00+00:00,2024-01-02 15:27:00+00:00,2024-01-02 15:31:00+00:00,2024-01-02 15:47:00+00:00,trajectory_1163dafd9e9d_20_96fefa0e6429,1,market,0.0,20,1,20,32,49135.0
355886,355887,355906,355906,closed,timeout,18713.0,18718.25,18713.25,18718.0,18693.0,18745.0,5.25,4.75,4.25,85.0,10.0,0.5,20.0,20.0,2.75,2024-01-02 16:53:00+00:00,2024-01-02 16:53:00+00:00,2024-01-02 17:13:00+00:00,2024-01-02 17:13:00+00:00,trajectory_1163dafd9e9d_20_96fefa0e6429,1,market,0.0,20,1,20,32,49220.0
355939,355940,355942,355942,closed,stop,18709.75,18689.75,18710.0,18689.5,18689.75,18741.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,3.0,3.0,25.0,2024-01-02 17:46:00+00:00,2024-01-02 17:46:00+00:00,2024-01-02 17:49:00+00:00,2024-01-02 18:06:00+00:00,trajectory_1163dafd9e9d_20_96fefa0e6429,1,market,0.0,20,1,20,32,48800.0
355996,355997,356006,356006,closed,stop,18670.75,18650.75,18671.0,18650.5,18650.75,18702.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,10.0,10.0,21.0,2024-01-02 18:43:00+00:00,2024-01-02 18:43:00+00:00,2024-01-02 18:53:00+00:00,2024-01-02 19:03:00+00:00,trajectory_1163dafd9e9d_20_96fefa0e6429,1,market,0.0,20,1,20,32,48380.0
356063,356064,356072,356072,closed,stop,18620.75,18600.75,18621.0,18600.5,18600.75,18652.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,9.0,9.0,20.75,2024-01-02 19:50:00+00:00,2024-01-02 19:50:00+00:00,2024-01-02 19:59:00+00:00,2024-01-02 20:10:00+00:00,trajectory_1163dafd9e9d_20_96fefa0e6429,1,market,0.0,20,1,20,32,47960.0
356240,356241,356260,356260,closed,timeout,18663.5,18667.25,18663.75,18667.0,18643.5,18695.5,3.75,3.25,2.75,55.0,10.0,0.5,20.0,20.0,2.25,2024-01-03 00:02:00+00:00,2024-01-03 00:02:00+00:00,2024-01-03 00:22:00+00:00,2024-01-03 00:22:00+00:00,trajectory_1163dafd9e9d_20_96fefa0e6429,1,market,0.0,20,1,20,32,48015.0
356268,356269,356288,356288,closed,timeout,18667.25,18661.75,18667.5,18661.5,18647.25,18699.25,-5.5,-6.0,-6.5,-130.0,10.0,0.5,20.0,20.0,7.75,2024-01-03 00:30:00+00:00,2024-01-03 00:30:00+00:00,2024-01-03 00:50:00+00:00,2024-01-03 00:50:00+00:00,trajectory_1163dafd9e9d_20_96fefa0e6429,1,market,0.0,20,1,20,32,47885.0
356331,356332,356351,356351,closed,timeout,18651.25,18655.5,18651.5,18655.25,18631.25,18683.25,4.25,3.75,3.25,65.0,10.0,0.5,20.0,20.0,2.75,2024-01-03 01:33:00+00:00,2024-01-03 01:33:00+00:00,2024-01-03 01:53:00+00:00,2024-01-03 01:53:00+00:00,trajectory_1163dafd9e9d_20_96fefa0e6429,1,market,0.0,20,1,20,32,47950.0
356392,356393,356412,356412,closed,timeout,18642.75,18646.75,18643.0,18646.5,18622.75,18674.75,4.0,3.5,3.0,60.0,10.0,0.5,20.0,20.0,0.25,2024-01-03 02:34:00+00:00,2024-01-03 02:34:00+00:00,2024-01-03 02:54:00+00:00,2024-01-03 02:54:00+00:00,trajectory_1163dafd9e9d_20_96fefa0e6429,1,market,0.0,20,1,20,32,48010.0
356413,356414,356433,356433,closed,timeout,18644.25,18646.75,18644.5,18646.5,18624.25,18676.25,2.5,2.0,1.5,30.0,10.0,0.5,20.0,20.0,3.0,2024-01-03 02:55:00+00:00,2024-01-03 02:55:00+00:00,2024-01-03 03:15:00+00:00,2024-01-03 03:15:00+00:00,trajectory_1163dafd9e9d_20_96fefa0e6429,1,market,0.0,20,1,20,32,48040.0
356530,356531,356550,356550,closed,timeout,18636.5,18636.0,18636.75,18635.75,18616.5,18668.5,-0.5,-1.0,-1.5,-30.0,10.0,0.5,20.0,20.0,6.5,2024-01-03 04:52:00+00:00,2024-01-03 04:52:00+00:00,2024-01-03 05:12:00+00:00,2024-01-03 05:12:00+00:00,trajectory_1163dafd9e9d_20_96fefa0e6429,1,market,0.0,20,1,20,32,48010.0
356599,356600,356619,356619,closed,timeout,18645.0,18649.0,18645.25,18648.75,18625.0,18677.0,4.0,3.5,3.0,60.0,10.0,0.5,20.0,20.0,3.75,2024-01-03 06:01:00+00:00,2024-01-03 06:01:00+00:00,2024-01-03 06:21:00+00:00,2024-01-03 06:21:00+00:00,trajectory_1163dafd9e9d_20_96fefa0e6429,1,market,0.0,20,1,20,32,48070.0
356691,356692,356711,356711,closed,timeout,18646.0,18651.25,18646.25,18651.0,18626.0,18678.0,5.25,4.75,4.25,85.0,10.0,0.5,20.0,20.0,0.5,2024-01-03 07:33:00+00:00,2024-01-03 07:33:00+00:00,2024-01-03 07:53:00+00:00,2024-01-03 07:53:00+00:00,trajectory_1163dafd9e9d_20_96fefa0e6429,1,market,0.0,20,1,20,32,48155.0
356718,356719,356738,356738,closed,timeout,18650.75,18665.5,18651.0,18665.25,18630.75,18682.75,14.75,14.25,13.75,275.0,10.0,0.5,20.0,20.0,2.5,2024-01-03 08:00:00+00:00,2024-01-03 08:00:00+00:00,2024-01-03 08:20:00+00:00,2024-01-03 08:20:00+00:00,trajectory_1163dafd9e9d_20_96fefa0e6429,1,market,0.0,20,1,20,32,48430.0
356783,356784,356803,356803,closed,timeout,18616.5,18617.75,18616.75,18617.5,18596.5,18648.5,1.25,0.75,0.25,5.0,10.0,0.5,20.0,20.0,15.25,2024-01-03 09:05:00+00:00,2024-01-03 09:05:00+00:00,2024-01-03 09:25:00+00:00,2024-01-03 09:25:00+00:00,trajectory_1163dafd9e9d_20_96fefa0e6429,1,market,0.0,20,1,20,32,48435.0
356961,356962,356980,356980,closed,stop,18584.0,18564.0,18584.25,18563.75,18564.0,18616.0,-20.0,-20.5,-21.0,-420.0,10.0,0.5,19.0,19.0,21.25,2024-01-03 12:03:00+00:00,2024-01-03 12:03:00+00:00,2024-01-03 12:22:00+00:00,2024-01-03 12:23:00+00:00,trajectory_1163dafd9e9d_20_96fefa0e6429,1,market,0.0,20,1,20,32,48015.0
357063,357064,357077,357077,closed,stop,18577.5,18557.5,18577.75,18557.25,18557.5,18609.5,-20.0,-20.5,-21.0,-420.0,10.0,0.5,14.0,14.0,21.75,2024-01-03 13:45:00+00:00,2024-01-03 13:45:00+00:00,2024-01-03 13:59:00+00:00,2024-01-03 14:05:00+00:00,trajectory_1163dafd9e9d_20_96fefa0e6429,1,market,0.0,20,1,20,32,47595.0
357101,357102,357109,357109,closed,stop,18548.75,18528.75,18549.0,18528.5,18528.75,18580.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,8.0,8.0,21.0,2024-01-03 14:23:00+00:00,2024-01-03 14:23:00+00:00,2024-01-03 14:31:00+00:00,2024-01-03 14:43:00+00:00,trajectory_1163dafd9e9d_20_96fefa0e6429,1,market,0.0,20,1,20,32,47175.0
357111,357112,357114,357114,closed,target,18534.25,18566.25,18534.5,18566.0,18514.25,18566.25,32.0,31.5,31.0,620.0,10.0,0.5,3.0,3.0,11.75,2024-01-03 14:33:00+00:00,2024-01-03 14:33:00+00:00,2024-01-03 14:36:00+00:00,2024-01-03 14:53:00+00:00,trajectory_1163dafd9e9d_20_96fefa0e6429,1,market,0.0,20,1,20,32,47795.0
357140,357141,357142,357142,closed,target,18544.75,18576.75,18545.0,18576.5,18524.75,18576.75,32.0,31.5,31.0,620.0,10.0,0.5,2.0,2.0,0.25,2024-01-03 15:02:00+00:00,2024-01-03 15:02:00+00:00,2024-01-03 15:04:00+00:00,2024-01-03 15:22:00+00:00,trajectory_1163dafd9e9d_20_96fefa0e6429,1,market,0.0,20,1,20,32,48415.0
357171,357172,357178,357178,closed,stop,18509.0,18489.0,18509.25,18488.75,18489.0,18541.0,-20.0,-20.5,-21.0,-420.0,10.0,0.5,7.0,7.0,24.0,2024-01-03 15:33:00+00:00,2024-01-03 15:33:00+00:00,2024-01-03 15:40:00+00:00,2024-01-03 15:53:00+00:00,trajectory_1163dafd9e9d_20_96fefa0e6429,1,market,0.0,20,1,20,32,47995.0
357267,357268,357287,357287,closed,timeout,18504.5,18515.5,18504.75,18515.25,18484.5,18536.5,11.0,10.5,10.0,200.0,10.0,0.5,20.0,20.0,14.25,2024-01-03 17:09:00+00:00,2024-01-03 17:09:00+00:00,2024-01-03 17:29:00+00:00,2024-01-03 17:29:00+00:00,trajectory_1163dafd9e9d_20_96fefa0e6429,1,market,0.0,20,1,20,32,48195.0
