detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354883,354884,354886,354886,closed,timeout,18970.5,18968.5,18970.25,18968.75,18982.5,18938.5,2.0,1.5,1.0,20.0,10.0,0.5,3.0,3.0,0.5,2024-01-02 00:10:00+00:00,2024-01-02 00:10:00+00:00,2024-01-02 00:13:00+00:00,2024-01-02 00:13:00+00:00,trajectory_1163dafd9e9d_21_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,50020.0
354908,354909,354911,354911,closed,timeout,18964.0,18967.25,18963.75,18967.5,18976.0,18932.0,-3.25,-3.75,-4.25,-85.0,10.0,0.5,3.0,3.0,3.75,2024-01-02 00:35:00+00:00,2024-01-02 00:35:00+00:00,2024-01-02 00:38:00+00:00,2024-01-02 00:38:00+00:00,trajectory_1163dafd9e9d_21_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,49935.0
354923,354924,354926,354926,closed,timeout,18967.75,18968.0,18967.5,18968.25,18979.75,18935.75,-0.25,-0.75,-1.25,-25.0,10.0,0.5,3.0,3.0,1.0,2024-01-02 00:50:00+00:00,2024-01-02 00:50:00+00:00,2024-01-02 00:53:00+00:00,2024-01-02 00:53:00+00:00,trajectory_1163dafd9e9d_21_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,49910.0
354950,354951,354953,354953,closed,timeout,18976.25,18977.0,18976.0,18977.25,18988.25,18944.25,-0.75,-1.25,-1.75,-35.0,10.0,0.5,3.0,3.0,1.0,2024-01-02 01:17:00+00:00,2024-01-02 01:17:00+00:00,2024-01-02 01:20:00+00:00,2024-01-02 01:20:00+00:00,trajectory_1163dafd9e9d_21_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,49875.0
354985,354986,354988,354988,closed,timeout,18959.5,18958.5,18959.25,18958.75,18971.5,18927.5,1.0,0.5,0.0,0.0,10.0,0.5,3.0,3.0,0.75,2024-01-02 01:52:00+00:00,2024-01-02 01:52:00+00:00,2024-01-02 01:55:00+00:00,2024-01-02 01:55:00+00:00,trajectory_1163dafd9e9d_21_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,49875.0
354998,354999,355001,355001,closed,timeout,18959.25,18959.25,18959.0,18959.5,18971.25,18927.25,-0.0,-0.5,-1.0,-20.0,10.0,0.5,3.0,3.0,1.25,2024-01-02 02:05:00+00:00,2024-01-02 02:05:00+00:00,2024-01-02 02:08:00+00:00,2024-01-02 02:08:00+00:00,trajectory_1163dafd9e9d_21_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,49855.0
355053,355054,355056,355056,closed,timeout,18949.5,18951.75,18949.25,18952.0,18961.5,18917.5,-2.25,-2.75,-3.25,-65.0,10.0,0.5,3.0,3.0,2.5,2024-01-02 03:00:00+00:00,2024-01-02 03:00:00+00:00,2024-01-02 03:03:00+00:00,2024-01-02 03:03:00+00:00,trajectory_1163dafd9e9d_21_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,49790.0
355098,355099,355101,355101,closed,timeout,18949.0,18949.5,18948.75,18949.75,18961.0,18917.0,-0.5,-1.0,-1.5,-30.0,10.0,0.5,3.0,3.0,2.25,2024-01-02 03:45:00+00:00,2024-01-02 03:45:00+00:00,2024-01-02 03:48:00+00:00,2024-01-02 03:48:00+00:00,trajectory_1163dafd9e9d_21_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,49760.0
355112,355113,355115,355115,closed,timeout,18947.75,18945.5,18947.5,18945.75,18959.75,18915.75,2.25,1.75,1.25,25.0,10.0,0.5,3.0,3.0,1.25,2024-01-02 03:59:00+00:00,2024-01-02 03:59:00+00:00,2024-01-02 04:02:00+00:00,2024-01-02 04:02:00+00:00,trajectory_1163dafd9e9d_21_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,49785.0
355184,355185,355187,355187,closed,timeout,18952.0,18955.75,18951.75,18956.0,18964.0,18920.0,-3.75,-4.25,-4.75,-95.0,10.0,0.5,3.0,3.0,4.0,2024-01-02 05:11:00+00:00,2024-01-02 05:11:00+00:00,2024-01-02 05:14:00+00:00,2024-01-02 05:14:00+00:00,trajectory_1163dafd9e9d_21_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,49690.0
