detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354883,354884,354888,354888,closed,timeout,18970.5,18968.75,18970.25,18969.0,18990.5,18938.5,1.75,1.25,0.75,15.0,10.0,0.5,5.0,5.0,0.5,2024-01-02 00:10:00+00:00,2024-01-02 00:10:00+00:00,2024-01-02 00:15:00+00:00,2024-01-02 00:15:00+00:00,trajectory_1163dafd9e9d_21_d475b5c39d79,-1,market,0.0,5,1,20,32,50015.0
354908,354909,354913,354913,closed,timeout,18964.0,18968.0,18963.75,18968.25,18984.0,18932.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,5.0,5.0,5.0,2024-01-02 00:35:00+00:00,2024-01-02 00:35:00+00:00,2024-01-02 00:40:00+00:00,2024-01-02 00:40:00+00:00,trajectory_1163dafd9e9d_21_d475b5c39d79,-1,market,0.0,5,1,20,32,49915.0
354923,354924,354928,354928,closed,timeout,18967.75,18967.25,18967.5,18967.5,18987.75,18935.75,0.5,-0.0,-0.5,-10.0,10.0,0.5,5.0,5.0,1.25,2024-01-02 00:50:00+00:00,2024-01-02 00:50:00+00:00,2024-01-02 00:55:00+00:00,2024-01-02 00:55:00+00:00,trajectory_1163dafd9e9d_21_d475b5c39d79,-1,market,0.0,5,1,20,32,49905.0
354950,354951,354955,354955,closed,timeout,18976.25,18973.5,18976.0,18973.75,18996.25,18944.25,2.75,2.25,1.75,35.0,10.0,0.5,5.0,5.0,1.75,2024-01-02 01:17:00+00:00,2024-01-02 01:17:00+00:00,2024-01-02 01:22:00+00:00,2024-01-02 01:22:00+00:00,trajectory_1163dafd9e9d_21_d475b5c39d79,-1,market,0.0,5,1,20,32,49940.0
354985,354986,354990,354990,closed,timeout,18959.5,18957.0,18959.25,18957.25,18979.5,18927.5,2.5,2.0,1.5,30.0,10.0,0.5,5.0,5.0,0.75,2024-01-02 01:52:00+00:00,2024-01-02 01:52:00+00:00,2024-01-02 01:57:00+00:00,2024-01-02 01:57:00+00:00,trajectory_1163dafd9e9d_21_d475b5c39d79,-1,market,0.0,5,1,20,32,49970.0
354998,354999,355003,355003,closed,timeout,18959.25,18959.25,18959.0,18959.5,18979.25,18927.25,-0.0,-0.5,-1.0,-20.0,10.0,0.5,5.0,5.0,1.25,2024-01-02 02:05:00+00:00,2024-01-02 02:05:00+00:00,2024-01-02 02:10:00+00:00,2024-01-02 02:10:00+00:00,trajectory_1163dafd9e9d_21_d475b5c39d79,-1,market,0.0,5,1,20,32,49950.0
355053,355054,355058,355058,closed,timeout,18949.5,18949.75,18949.25,18950.0,18969.5,18917.5,-0.25,-0.75,-1.25,-25.0,10.0,0.5,5.0,5.0,2.5,2024-01-02 03:00:00+00:00,2024-01-02 03:00:00+00:00,2024-01-02 03:05:00+00:00,2024-01-02 03:05:00+00:00,trajectory_1163dafd9e9d_21_d475b5c39d79,-1,market,0.0,5,1,20,32,49925.0
355098,355099,355103,355103,closed,timeout,18949.0,18948.5,18948.75,18948.75,18969.0,18917.0,0.5,-0.0,-0.5,-10.0,10.0,0.5,5.0,5.0,2.25,2024-01-02 03:45:00+00:00,2024-01-02 03:45:00+00:00,2024-01-02 03:50:00+00:00,2024-01-02 03:50:00+00:00,trajectory_1163dafd9e9d_21_d475b5c39d79,-1,market,0.0,5,1,20,32,49915.0
355112,355113,355117,355117,closed,timeout,18947.75,18946.25,18947.5,18946.5,18967.75,18915.75,1.5,1.0,0.5,10.0,10.0,0.5,5.0,5.0,1.25,2024-01-02 03:59:00+00:00,2024-01-02 03:59:00+00:00,2024-01-02 04:04:00+00:00,2024-01-02 04:04:00+00:00,trajectory_1163dafd9e9d_21_d475b5c39d79,-1,market,0.0,5,1,20,32,49925.0
355184,355185,355189,355189,closed,timeout,18952.0,18957.0,18951.75,18957.25,18972.0,18920.0,-5.0,-5.5,-6.0,-120.0,10.0,0.5,5.0,5.0,6.0,2024-01-02 05:11:00+00:00,2024-01-02 05:11:00+00:00,2024-01-02 05:16:00+00:00,2024-01-02 05:16:00+00:00,trajectory_1163dafd9e9d_21_d475b5c39d79,-1,market,0.0,5,1,20,32,49805.0
