detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354901,354902,354911,354911,closed,timeout,18962.5,18967.25,18962.25,18967.5,18974.5,18942.5,-4.75,-5.25,-5.75,-115.0,10.0,0.5,10.0,10.0,5.25,2024-01-02 00:28:00+00:00,2024-01-02 00:28:00+00:00,2024-01-02 00:38:00+00:00,2024-01-02 00:38:00+00:00,trajectory_1163dafd9e9d_22_da140cddb941,-1,market,0.0,10,1,12,20,49885.0
354969,354970,354979,354979,closed,timeout,18966.5,18959.5,18966.25,18959.75,18978.5,18946.5,7.0,6.5,6.0,120.0,10.0,0.5,10.0,10.0,1.25,2024-01-02 01:36:00+00:00,2024-01-02 01:36:00+00:00,2024-01-02 01:46:00+00:00,2024-01-02 01:46:00+00:00,trajectory_1163dafd9e9d_22_da140cddb941,-1,market,0.0,10,1,12,20,50005.0
355046,355047,355056,355056,closed,timeout,18945.25,18951.75,18945.0,18952.0,18957.25,18925.25,-6.5,-7.0,-7.5,-150.0,10.0,0.5,10.0,10.0,6.75,2024-01-02 02:53:00+00:00,2024-01-02 02:53:00+00:00,2024-01-02 03:03:00+00:00,2024-01-02 03:03:00+00:00,trajectory_1163dafd9e9d_22_da140cddb941,-1,market,0.0,10,1,12,20,49855.0
355073,355074,355083,355083,closed,timeout,18948.25,18950.25,18948.0,18950.5,18960.25,18928.25,-2.0,-2.5,-3.0,-60.0,10.0,0.5,10.0,10.0,3.25,2024-01-02 03:20:00+00:00,2024-01-02 03:20:00+00:00,2024-01-02 03:30:00+00:00,2024-01-02 03:30:00+00:00,trajectory_1163dafd9e9d_22_da140cddb941,-1,market,0.0,10,1,12,20,49795.0
355092,355093,355102,355102,closed,timeout,18944.5,18949.0,18944.25,18949.25,18956.5,18924.5,-4.5,-5.0,-5.5,-110.0,10.0,0.5,10.0,10.0,6.75,2024-01-02 03:39:00+00:00,2024-01-02 03:39:00+00:00,2024-01-02 03:49:00+00:00,2024-01-02 03:49:00+00:00,trajectory_1163dafd9e9d_22_da140cddb941,-1,market,0.0,10,1,12,20,49685.0
355241,355242,355251,355251,closed,timeout,18953.75,18951.75,18953.5,18952.0,18965.75,18933.75,2.0,1.5,1.0,20.0,10.0,0.5,10.0,10.0,2.0,2024-01-02 06:08:00+00:00,2024-01-02 06:08:00+00:00,2024-01-02 06:18:00+00:00,2024-01-02 06:18:00+00:00,trajectory_1163dafd9e9d_22_da140cddb941,-1,market,0.0,10,1,12,20,49705.0
355339,355340,355349,355349,closed,timeout,18954.5,18959.5,18954.25,18959.75,18966.5,18934.5,-5.0,-5.5,-6.0,-120.0,10.0,0.5,10.0,10.0,6.75,2024-01-02 07:46:00+00:00,2024-01-02 07:46:00+00:00,2024-01-02 07:56:00+00:00,2024-01-02 07:56:00+00:00,trajectory_1163dafd9e9d_22_da140cddb941,-1,market,0.0,10,1,12,20,49585.0
355417,355418,355427,355427,closed,timeout,18961.25,18944.25,18961.0,18944.5,18973.25,18941.25,17.0,16.5,16.0,320.0,10.0,0.5,10.0,10.0,0.5,2024-01-02 09:04:00+00:00,2024-01-02 09:04:00+00:00,2024-01-02 09:14:00+00:00,2024-01-02 09:14:00+00:00,trajectory_1163dafd9e9d_22_da140cddb941,-1,market,0.0,10,1,12,20,49905.0
355453,355454,355463,355463,closed,timeout,18936.0,18937.25,18935.75,18937.5,18948.0,18916.0,-1.25,-1.75,-2.25,-45.0,10.0,0.5,10.0,10.0,5.25,2024-01-02 09:40:00+00:00,2024-01-02 09:40:00+00:00,2024-01-02 09:50:00+00:00,2024-01-02 09:50:00+00:00,trajectory_1163dafd9e9d_22_da140cddb941,-1,market,0.0,10,1,12,20,49860.0
355527,355528,355537,355537,closed,timeout,18920.25,18914.5,18920.0,18914.75,18932.25,18900.25,5.75,5.25,4.75,95.0,10.0,0.5,10.0,10.0,4.25,2024-01-02 10:54:00+00:00,2024-01-02 10:54:00+00:00,2024-01-02 11:04:00+00:00,2024-01-02 11:04:00+00:00,trajectory_1163dafd9e9d_22_da140cddb941,-1,market,0.0,10,1,12,20,49955.0
355541,355542,355548,355548,closed,target,18897.0,18877.0,18896.75,18877.25,18909.0,18877.0,20.0,19.5,19.0,380.0,10.0,0.5,7.0,7.0,0.5,2024-01-02 11:08:00+00:00,2024-01-02 11:08:00+00:00,2024-01-02 11:15:00+00:00,2024-01-02 11:18:00+00:00,trajectory_1163dafd9e9d_22_da140cddb941,-1,market,0.0,10,1,12,20,50335.0
355548,355549,355551,355551,closed,target,18874.0,18854.0,18873.75,18854.25,18886.0,18854.0,20.0,19.5,19.0,380.0,10.0,0.5,3.0,3.0,1.75,2024-01-02 11:15:00+00:00,2024-01-02 11:15:00+00:00,2024-01-02 11:18:00+00:00,2024-01-02 11:25:00+00:00,trajectory_1163dafd9e9d_22_da140cddb941,-1,market,0.0,10,1,12,20,50715.0
355551,355552,355561,355561,closed,target,18851.75,18831.75,18851.5,18832.0,18863.75,18831.75,20.0,19.5,19.0,380.0,10.0,0.5,10.0,10.0,3.25,2024-01-02 11:18:00+00:00,2024-01-02 11:18:00+00:00,2024-01-02 11:28:00+00:00,2024-01-02 11:28:00+00:00,trajectory_1163dafd9e9d_22_da140cddb941,-1,market,0.0,10,1,12,20,51095.0
355570,355571,355574,355574,closed,stop,18791.25,18803.25,18791.0,18803.5,18803.25,18771.25,-12.0,-12.5,-13.0,-260.0,10.0,0.5,4.0,4.0,14.25,2024-01-02 11:37:00+00:00,2024-01-02 11:37:00+00:00,2024-01-02 11:41:00+00:00,2024-01-02 11:47:00+00:00,trajectory_1163dafd9e9d_22_da140cddb941,-1,market,0.0,10,1,12,20,50835.0
355748,355749,355752,355752,closed,target,18773.5,18753.5,18773.25,18753.75,18785.5,18753.5,20.0,19.5,19.0,380.0,10.0,0.5,4.0,4.0,10.25,2024-01-02 14:35:00+00:00,2024-01-02 14:35:00+00:00,2024-01-02 14:39:00+00:00,2024-01-02 14:45:00+00:00,trajectory_1163dafd9e9d_22_da140cddb941,-1,market,0.0,10,1,12,20,51215.0
355752,355753,355754,355754,closed,target,18744.75,18724.75,18744.5,18725.0,18756.75,18724.75,20.0,19.5,19.0,380.0,10.0,0.5,2.0,2.0,4.5,2024-01-02 14:39:00+00:00,2024-01-02 14:39:00+00:00,2024-01-02 14:41:00+00:00,2024-01-02 14:49:00+00:00,trajectory_1163dafd9e9d_22_da140cddb941,-1,market,0.0,10,1,12,20,51595.0
355756,355757,355758,355758,closed,stop,18710.75,18722.75,18710.5,18723.0,18722.75,18690.75,-12.0,-12.5,-13.0,-260.0,10.0,0.5,2.0,2.0,13.75,2024-01-02 14:43:00+00:00,2024-01-02 14:43:00+00:00,2024-01-02 14:45:00+00:00,2024-01-02 14:53:00+00:00,trajectory_1163dafd9e9d_22_da140cddb941,-1,market,0.0,10,1,12,20,51335.0
355944,355945,355950,355950,closed,target,18684.5,18664.5,18684.25,18664.75,18696.5,18664.5,20.0,19.5,19.0,380.0,10.0,0.5,6.0,6.0,3.0,2024-01-02 17:51:00+00:00,2024-01-02 17:51:00+00:00,2024-01-02 17:57:00+00:00,2024-01-02 18:01:00+00:00,trajectory_1163dafd9e9d_22_da140cddb941,-1,market,0.0,10,1,12,20,51715.0
