detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354898,354899,354899,354899,closed,timeout,18966.5,18966.0,18966.75,18965.75,18946.5,18986.5,-0.5,-1.0,-1.5,-30.0,10.0,0.5,1.0,1.0,0.75,2024-01-02 00:25:00+00:00,2024-01-02 00:25:00+00:00,2024-01-02 00:26:00+00:00,2024-01-02 00:26:00+00:00,trajectory_1163dafd9e9d_23_ef06605c41ee,1,market,0.0,1,1,20,20,49970.0
354907,354908,354908,354908,closed,timeout,18963.0,18964.0,18963.25,18963.75,18943.0,18983.0,1.0,0.5,0.0,0.0,10.0,0.5,1.0,1.0,0.5,2024-01-02 00:34:00+00:00,2024-01-02 00:34:00+00:00,2024-01-02 00:35:00+00:00,2024-01-02 00:35:00+00:00,trajectory_1163dafd9e9d_23_ef06605c41ee,1,market,0.0,1,1,20,20,49970.0
354980,354981,354981,354981,closed,timeout,18959.0,18957.5,18959.25,18957.25,18939.0,18979.0,-1.5,-2.0,-2.5,-50.0,10.0,0.5,1.0,1.0,2.5,2024-01-02 01:47:00+00:00,2024-01-02 01:47:00+00:00,2024-01-02 01:48:00+00:00,2024-01-02 01:48:00+00:00,trajectory_1163dafd9e9d_23_ef06605c41ee,1,market,0.0,1,1,20,20,49920.0
355016,355017,355017,355017,closed,timeout,18956.5,18953.5,18956.75,18953.25,18936.5,18976.5,-3.0,-3.5,-4.0,-80.0,10.0,0.5,1.0,1.0,3.25,2024-01-02 02:23:00+00:00,2024-01-02 02:23:00+00:00,2024-01-02 02:24:00+00:00,2024-01-02 02:24:00+00:00,trajectory_1163dafd9e9d_23_ef06605c41ee,1,market,0.0,1,1,20,20,49840.0
355051,355052,355052,355052,closed,timeout,18948.5,18948.25,18948.75,18948.0,18928.5,18968.5,-0.25,-0.75,-1.25,-25.0,10.0,0.5,1.0,1.0,0.75,2024-01-02 02:58:00+00:00,2024-01-02 02:58:00+00:00,2024-01-02 02:59:00+00:00,2024-01-02 02:59:00+00:00,trajectory_1163dafd9e9d_23_ef06605c41ee,1,market,0.0,1,1,20,20,49815.0
355052,355053,355053,355053,closed,timeout,18948.5,18949.5,18948.75,18949.25,18928.5,18968.5,1.0,0.5,0.0,0.0,10.0,0.5,1.0,1.0,0.25,2024-01-02 02:59:00+00:00,2024-01-02 02:59:00+00:00,2024-01-02 03:00:00+00:00,2024-01-02 03:00:00+00:00,trajectory_1163dafd9e9d_23_ef06605c41ee,1,market,0.0,1,1,20,20,49815.0
355080,355081,355081,355081,closed,timeout,18947.75,18948.75,18948.0,18948.5,18927.75,18967.75,1.0,0.5,0.0,0.0,10.0,0.5,1.0,1.0,0.5,2024-01-02 03:27:00+00:00,2024-01-02 03:27:00+00:00,2024-01-02 03:28:00+00:00,2024-01-02 03:28:00+00:00,trajectory_1163dafd9e9d_23_ef06605c41ee,1,market,0.0,1,1,20,20,49815.0
355081,355082,355082,355082,closed,timeout,18949.0,18949.0,18949.25,18948.75,18929.0,18969.0,0.0,-0.5,-1.0,-20.0,10.0,0.5,1.0,1.0,0.25,2024-01-02 03:28:00+00:00,2024-01-02 03:28:00+00:00,2024-01-02 03:29:00+00:00,2024-01-02 03:29:00+00:00,trajectory_1163dafd9e9d_23_ef06605c41ee,1,market,0.0,1,1,20,20,49795.0
355096,355097,355097,355097,closed,timeout,18946.5,18947.75,18946.75,18947.5,18926.5,18966.5,1.25,0.75,0.25,5.0,10.0,0.5,1.0,1.0,0.25,2024-01-02 03:43:00+00:00,2024-01-02 03:43:00+00:00,2024-01-02 03:44:00+00:00,2024-01-02 03:44:00+00:00,trajectory_1163dafd9e9d_23_ef06605c41ee,1,market,0.0,1,1,20,20,49800.0
355097,355098,355098,355098,closed,timeout,18947.75,18949.0,18948.0,18948.75,18927.75,18967.75,1.25,0.75,0.25,5.0,10.0,0.5,1.0,1.0,0.5,2024-01-02 03:44:00+00:00,2024-01-02 03:44:00+00:00,2024-01-02 03:45:00+00:00,2024-01-02 03:45:00+00:00,trajectory_1163dafd9e9d_23_ef06605c41ee,1,market,0.0,1,1,20,20,49805.0
355109,355110,355110,355110,closed,timeout,18946.75,18946.25,18947.0,18946.0,18926.75,18966.75,-0.5,-1.0,-1.5,-30.0,10.0,0.5,1.0,1.0,0.75,2024-01-02 03:56:00+00:00,2024-01-02 03:56:00+00:00,2024-01-02 03:57:00+00:00,2024-01-02 03:57:00+00:00,trajectory_1163dafd9e9d_23_ef06605c41ee,1,market,0.0,1,1,20,20,49775.0
355110,355111,355111,355111,closed,timeout,18946.25,18947.0,18946.5,18946.75,18926.25,18966.25,0.75,0.25,-0.25,-5.0,10.0,0.5,1.0,1.0,0.25,2024-01-02 03:57:00+00:00,2024-01-02 03:57:00+00:00,2024-01-02 03:58:00+00:00,2024-01-02 03:58:00+00:00,trajectory_1163dafd9e9d_23_ef06605c41ee,1,market,0.0,1,1,20,20,49770.0
355111,355112,355112,355112,closed,timeout,18947.5,18948.0,18947.75,18947.75,18927.5,18967.5,0.5,0.0,-0.5,-10.0,10.0,0.5,1.0,1.0,0.25,2024-01-02 03:58:00+00:00,2024-01-02 03:58:00+00:00,2024-01-02 03:59:00+00:00,2024-01-02 03:59:00+00:00,trajectory_1163dafd9e9d_23_ef06605c41ee,1,market,0.0,1,1,20,20,49760.0
355123,355124,355124,355124,closed,timeout,18946.75,18946.5,18947.0,18946.25,18926.75,18966.75,-0.25,-0.75,-1.25,-25.0,10.0,0.5,1.0,1.0,1.0,2024-01-02 04:10:00+00:00,2024-01-02 04:10:00+00:00,2024-01-02 04:11:00+00:00,2024-01-02 04:11:00+00:00,trajectory_1163dafd9e9d_23_ef06605c41ee,1,market,0.0,1,1,20,20,49735.0
355163,355164,355164,355164,closed,timeout,18951.75,18951.5,18952.0,18951.25,18931.75,18971.75,-0.25,-0.75,-1.25,-25.0,10.0,0.5,1.0,1.0,0.5,2024-01-02 04:50:00+00:00,2024-01-02 04:50:00+00:00,2024-01-02 04:51:00+00:00,2024-01-02 04:51:00+00:00,trajectory_1163dafd9e9d_23_ef06605c41ee,1,market,0.0,1,1,20,20,49710.0
355166,355167,355167,355167,closed,timeout,18951.25,18951.75,18951.5,18951.5,18931.25,18971.25,0.5,0.0,-0.5,-10.0,10.0,0.5,1.0,1.0,0.25,2024-01-02 04:53:00+00:00,2024-01-02 04:53:00+00:00,2024-01-02 04:54:00+00:00,2024-01-02 04:54:00+00:00,trajectory_1163dafd9e9d_23_ef06605c41ee,1,market,0.0,1,1,20,20,49700.0
